song_id,valence,arousal,label
341,0.35,0.425,sad
1126,0.3625,0.275,sad
1347,0.45,0.375,sad
164,0.3875,0.2375,sad
594,0.4,0.2625,sad
32,0.4,0.2875,sad
1593,0.4625,0.3125,sad
643,0.3125,0.4,sad
1012,0.4125,0.2375,sad
1105,0.35,0.3375,sad
1417,0.45,0.175,sad
560,0.2375,0.45,sad
226,0.4875,0.5,sad
551,0.275,0.375,sad
852,0.4375,0.4625,sad
869,0.2,0.3875,sad
746,0.3375,0.45,sad
1368,0.3,0.2875,sad
1951,0.45,0.375,sad
1965,0.2875,0.3125,sad
558,0.225,0.275,sad
338,0.25,0.35,sad
717,0.4375,0.4875,sad
661,0.15,0.225,sad
1869,0.3875,0.3375,sad
167,0.2125,0.2875,sad
544,0.475,0.4375,sad
1226,0.3625,0.35,sad
1182,0.2125,0.15,sad
1671,0.4,0.2875,sad
1822,0.4625,0.3125,sad
282,0.275,0.4,sad
109,0.425,0.4375,sad
714,0.425,0.475,sad
163,0.325,0.4375,sad
858,0.425,0.4375,sad
1136,0.4375,0.3,sad
2,0.2625,0.25,sad
1035,0.4125,0.4,sad
1770,0.4375,0.2375,sad
688,0.4125,0.5,sad
1146,0.2,0.3,sad
31,0.4625,0.35,sad
574,0.4375,0.475,sad
1456,0.4125,0.15,sad
68,0.35,0.4875,sad
1011,0.4375,0.25,sad
1246,0.4375,0.2625,sad
1145,0.4625,0.175,sad
203,0.3125,0.475,sad
565,0.2625,0.25,sad
148,0.4625,0.5,sad
1032,0.2875,0.3875,sad
1455,0.3875,0.4,sad
1108,0.475,0.3375,sad
1838,0.45,0.5,sad
530,0.2875,0.3125,sad
1488,0.4875,0.3625,sad
121,0.2625,0.3625,sad
1499,0.475,0.4375,sad
175,0.3375,0.4125,sad
1436,0.4625,0.35,sad
1406,0.3625,0.3375,sad
1259,0.325,0.225,sad
967,0.225,0.425,sad
3,0.3125,0.2875,sad
222,0.35,0.4125,sad
1181,0.3375,0.425,sad
1269,0.3125,0.425,sad
1179,0.3,0.3875,sad
1867,0.4,0.375,sad
458,0.3,0.5,sad
304,0.35,0.45,sad
1019,0.4125,0.225,sad
1036,0.475,0.25,sad
206,0.1625,0.2,sad
22,0.375,0.475,sad
128,0.325,0.375,sad
54,0.2625,0.2875,sad
48,0.4375,0.475,sad
1896,0.4875,0.1375,sad
171,0.1375,0.325,sad
1115,0.425,0.3625,sad
383,0.4,0.325,sad
90,0.4125,0.4,sad
1027,0.45,0.35,sad
1261,0.35,0.2625,sad
1418,0.4125,0.35,sad
1138,0.425,0.3375,sad
1672,0.425,0.2,sad
1656,0.4625,0.375,sad
89,0.4375,0.475,sad
419,0.2875,0.375,sad
184,0.325,0.3,sad
205,0.25,0.4375,sad
461,0.475,0.425,sad
1599,0.325,0.3875,sad
1129,0.3125,0.175,sad
826,0.375,0.4625,sad
1781,0.4,0.2125,sad
1354,0.45,0.125,sad
507,0.4875,0.475,sad
1702,0.3875,0.3625,sad
1693,0.425,0.35,sad
1973,0.4125,0.4125,sad
1222,0.3875,0.275,sad
359,0.1875,0.3375,sad
582,0.2625,0.4875,sad
1112,0.2625,0.1625,sad
1925,0.4875,0.4375,sad
1483,0.3625,0.35,sad
154,0.4,0.3875,sad
1790,0.35,0.2875,sad
1134,0.3875,0.1375,sad
1894,0.475,0.475,sad
201,0.3375,0.475,sad
1797,0.325,0.3875,sad
1697,0.2875,0.225,sad
1176,0.4875,0.2125,sad
1062,0.3875,0.4125,sad
1405,0.3375,0.15,sad
1183,0.3375,0.275,sad
656,0.2,0.3875,sad
379,0.1125,0.2375,sad
1167,0.325,0.225,sad
1666,0.35,0.2875,sad
1409,0.4875,0.3375,sad
142,0.45,0.475,sad
1141,0.4375,0.325,sad
1724,0.3375,0.2875,sad
502,0.475,0.45,sad
890,0.325,0.4625,sad
488,0.075,0.3,sad
1023,0.2375,0.1625,sad
1240,0.2125,0.2,sad
140,0.4,0.4375,sad
1936,0.2375,0.25,sad
1505,0.4,0.4875,sad
1195,0.4,0.375,sad
1732,0.4,0.25,sad
1847,0.275,0.2,sad
1452,0.4,0.3625,sad
1736,0.4625,0.2625,sad
776,0.3125,0.4375,sad
8,0.275,0.475,sad
187,0.1875,0.3375,sad
242,0.3125,0.4625,sad
1444,0.45,0.2625,sad
1820,0.4375,0.425,sad
1612,0.35,0.2625,sad
1888,0.3,0.275,sad
429,0.2875,0.4125,sad
1034,0.2875,0.225,sad
301,0.275,0.3375,sad
1809,0.375,0.3875,sad
1481,0.3625,0.3375,sad
1107,0.25,0.275,sad
580,0.175,0.425,sad
1203,0.375,0.3,sad
