song_id,valence,arousal,quadrant
2,0.2625,0.25,sad
5,0.425,0.5375,angry
7,0.6,0.675,happy
17,0.425,0.625,angry
19,0.6125,0.4125,relax
21,0.7,0.6625,happy
24,0.5375,0.3625,relax
25,0.8625,0.4625,relax
35,0.475,0.6875,angry
41,0.4125,0.5125,angry
43,0.7125,0.3125,relax
45,0.5125,0.1375,relax
46,0.5375,0.375,relax
47,0.425,0.425,sad
49,0.3625,0.5375,angry
50,0.325,0.475,sad
52,0.45,0.5125,angry
53,0.4125,0.5125,angry
58,0.2875,0.3,sad
59,0.5375,0.3875,relax
60,0.4125,0.675,angry
62,0.65,0.3625,relax
64,0.325,0.4875,sad
65,0.675,0.6,happy
70,0.425,0.325,sad
71,0.6125,0.3375,relax
72,0.7125,0.575,happy
74,0.25,0.4125,sad
79,0.5625,0.5625,happy
81,0.6375,0.3625,relax
87,0.5375,0.2,relax
89,0.4375,0.475,sad
91,0.4375,0.5625,angry
92,0.6,0.4625,relax
102,0.6875,0.55,happy
103,0.575,0.2875,relax
104,0.6375,0.2875,relax
105,0.6875,0.5,happy
107,0.625,0.475,relax
110,0.425,0.225,sad
112,0.725,0.675,happy
113,0.55,0.35,relax
114,0.475,0.5875,angry
115,0.925,0.85,happy
118,0.4875,0.45,sad
122,0.5625,0.45,relax
127,0.25,0.5375,angry
128,0.325,0.375,sad
129,0.4,0.625,angry
131,0.6375,0.4875,relax
133,0.225,0.15,sad
134,0.55,0.625,happy
136,0.725,0.65,happy
137,0.4125,0.6,angry
142,0.45,0.475,sad
144,0.3,0.4625,sad
145,0.2625,0.55,angry
146,0.175,0.3125,sad
148,0.4625,0.5,sad
150,0.5,0.55,angry
152,0.425,0.575,angry
155,0.325,0.55,angry
157,0.375,0.65,angry
158,0.1375,0.325,sad
161,0.6625,0.3125,relax
171,0.1375,0.325,sad
173,0.45,0.15,sad
177,0.475,0.575,angry
180,0.475,0.6125,angry
185,0.4875,0.45,sad
189,0.6875,0.7625,happy
190,0.225,0.2625,sad
191,0.5125,0.6625,happy
192,0.6,0.6375,happy
198,0.1125,0.2875,sad
199,0.5375,0.5875,happy
202,0.45,0.525,angry
207,0.475,0.475,sad
208,0.475,0.6875,angry
210,0.4,0.5625,angry
212,0.45,0.55,angry
216,0.4375,0.5375,angry
221,0.4125,0.3,sad
231,0.3875,0.575,angry
235,0.25,0.3375,sad
237,0.4,0.3625,sad
238,0.25,0.45,sad
239,0.1625,0.2875,sad
240,0.675,0.7,happy
242,0.3125,0.4625,sad
243,0.775,0.3875,relax
245,0.4,0.6375,angry
247,0.3625,0.4375,sad
250,0.3,0.325,sad
253,0.7,0.1875,relax
258,0.4125,0.4125,sad
260,0.5375,0.325,relax
265,0.4375,0.675,angry
266,0.325,0.475,sad
269,0.4125,0.475,sad
270,0.6375,0.7625,happy
272,0.6125,0.675,happy
276,0.6375,0.5375,happy
279,0.325,0.4625,sad
280,0.4,0.2875,sad
282,0.275,0.4,sad
284,0.425,0.525,angry
285,0.3125,0.5125,angry
288,0.3125,0.525,angry
293,0.6625,0.4,relax
296,0.6125,0.5875,happy
298,0.375,0.55,angry
300,0.725,0.4375,relax
303,0.75,0.675,happy
305,0.675,0.725,happy
308,0.4125,0.7,angry
312,0.45,0.6,angry
313,0.325,0.5375,angry
317,0.6375,0.4125,relax
319,0.4375,0.7,angry
322,0.6375,0.825,happy
323,0.4775,0.59125,angry
326,0.55,0.775,happy
327,0.625,0.7625,happy
328,0.525,0.4,relax
330,0.6125,0.2625,relax
333,0.7125,0.6375,happy
334,0.6125,0.6125,happy
335,0.725,0.725,happy
336,0.6375,0.7,happy
339,0.6125,0.7375,happy
341,0.35,0.425,sad
342,0.375,0.5125,angry
344,0.45,0.525,angry
347,0.3525,0.6025,angry
348,0.5,0.5875,angry
349,0.45,0.6,angry
350,0.625,0.6875,happy
352,0.5625,0.4375,relax
353,0.375,0.475,sad
355,0.5125,0.6875,happy
356,0.45,0.575,angry
357,0.475,0.6875,angry
358,0.575,0.4,relax
360,0.1875,0.5625,angry
362,0.375,0.6125,angry
364,0.5625,0.6875,happy
366,0.7375,0.6375,happy
367,0.2625,0.2125,sad
368,0.475,0.6375,angry
369,0.2375,0.3,sad
372,0.325,0.475,sad
374,0.75,0.4875,relax
376,0.5,0.6125,angry
379,0.1125,0.2375,sad
380,0.575,0.475,relax
383,0.4,0.325,sad
386,0.5,0.5625,angry
392,0.3,0.475,sad
393,0.625,0.675,happy
395,0.7125,0.65,happy
399,0.7125,0.75,happy
401,0.5625,0.675,happy
404,0.7375,0.725,happy
406,0.5375,0.4125,relax
408,0.7,0.6375,happy
410,0.35,0.5125,angry
415,0.625,0.525,happy
420,0.4375,0.55,angry
423,0.525,0.4375,relax
425,0.7625,0.725,happy
427,0.525,0.6,happy
430,0.375,0.2375,sad
431,0.6375,0.5625,happy
435,0.4375,0.6125,angry
436,0.4125,0.525,angry
437,0.525,0.4125,relax
441,0.45,0.5125,angry
445,0.175,0.45,sad
449,0.325,0.35,sad
450,0.3875,0.5,sad
452,0.55625,0.71875,happy
453,0.45,0.575,angry
454,0.5,0.475,relax
456,0.6375,0.1625,relax
460,0.35,0.35,sad
462,0.6,0.45,relax
463,0.5,0.5875,angry
467,0.5875,0.725,happy
472,0.6875,0.525,happy
477,0.7625,0.775,happy
479,0.4375,0.5875,angry
480,0.2125,0.3875,sad
481,0.3,0.4625,sad
485,0.2,0.3375,sad
487,0.4375,0.5375,angry
489,0.45,0.525,angry
494,0.3375,0.3875,sad
496,0.4625,0.6125,angry
498,0.2375,0.225,sad
499,0.325,0.325,sad
500,0.625,0.525,happy
503,0.6,0.675,happy
512,0.5125,0.55,happy
514,0.4125,0.6,angry
515,0.35,0.3,sad
518,0.3875,0.3,sad
520,0.375,0.5625,angry
521,0.35,0.45,sad
522,0.3125,0.2125,sad
523,0.5125,0.6125,happy
527,0.375,0.5875,angry
529,0.4625,0.6,angry
530,0.2875,0.3125,sad
536,0.5125,0.4375,relax
537,0.5,0.2,relax
544,0.475,0.4375,sad
550,0.4,0.6125,angry
555,0.525,0.475,relax
568,0.55,0.2625,relax
584,0.1875,0.175,sad
597,0.475,0.675,angry
598,0.375,0.575,angry
605,0.425,0.625,angry
606,0.3875,0.575,angry
607,0.425,0.6375,angry
609,0.5375,0.56875,happy
610,0.6625,0.6875,happy
611,0.5125,0.475,relax
615,0.275,0.5,sad
616,0.3125,0.5,sad
617,0.6875,0.25,relax
620,0.6,0.425,relax
621,0.2375,0.425,sad
622,0.4375,0.5,sad
623,0.35,0.6125,angry
628,0.4875,0.725,angry
629,0.8,0.825,happy
631,0.825,0.2625,relax
632,0.4,0.55,angry
634,0.4625,0.6,angry
644,0.4125,0.575,angry
645,0.45,0.5875,angry
646,0.2625,0.35,sad
647,0.25,0.6,angry
650,0.625,0.4,relax
654,0.5125,0.425,relax
658,0.425,0.5875,angry
662,0.6125,0.5125,happy
668,0.5,0.5375,angry
672,0.425,0.6625,angry
674,0.725,0.8,happy
681,0.4875,0.7,angry
682,0.475,0.625,angry
686,0.3,0.5625,angry
691,0.5,0.3375,relax
697,0.475,0.6,angry
698,0.3625,0.3375,sad
700,0.475,0.575,angry
702,0.8125,0.2875,relax
703,0.5125,0.625,happy
707,0.275,0.2625,sad
710,0.55,0.5125,happy
712,0.3,0.5375,angry
713,0.4875,0.6625,angry
719,0.7625,0.775,happy
721,0.5875,0.5625,happy
722,0.5875,0.75,happy
724,0.625,0.6375,happy
726,0.75,0.325,relax
728,0.7375,0.8125,happy
729,0.675,0.3125,relax
730,0.3375,0.4375,sad
736,0.2125,0.3375,sad
737,0.3875,0.4875,sad
741,0.45,0.425,sad
747,0.325,0.4875,sad
748,0.5125,0.425,relax
749,0.4,0.4875,sad
756,0.6125,0.725,happy
757,0.625,0.6375,happy
758,0.475,0.6125,angry
759,0.7125,0.6125,happy
763,0.3125,0.5625,angry
773,0.4375,0.4625,sad
775,0.3375,0.425,sad
779,0.225,0.5375,angry
780,0.6,0.65,happy
781,0.4875,0.6625,angry
782,0.775,0.4625,relax
784,0.4625,0.5875,angry
789,0.3625,0.525,angry
797,0.4875,0.55,angry
799,0.3875,0.575,angry
800,0.4375,0.4375,sad
805,0.15,0.3125,sad
807,0.475,0.6875,angry
808,0.2625,0.4125,sad
814,0.6375,0.5375,happy
819,0.375,0.5875,angry
820,0.675,0.675,happy
825,0.3875,0.5875,angry
826,0.375,0.4625,sad
833,0.5,0.6,angry
