song_id,valence,arousal,label
2,0.2625,0.25,sad
3,0.3125,0.2875,sad
4,0.5875,0.5625,happy
5,0.425,0.5375,angry
7,0.6,0.675,happy
8,0.275,0.475,sad
10,0.375,0.4625,sad
12,0.5625,0.6,happy
13,0.275,0.375,sad
17,0.425,0.625,angry
18,0.475,0.3625,sad
19,0.6125,0.4125,relax
20,0.55,0.6875,happy
21,0.7,0.6625,happy
22,0.375,0.475,sad
24,0.5375,0.3625,relax
25,0.8625,0.4625,relax
31,0.4625,0.35,sad
32,0.4,0.2875,sad
35,0.475,0.6875,angry
37,0.7,0.5375,happy
39,0.7875,0.55,happy
40,0.45,0.475,sad
41,0.4125,0.5125,angry
42,0.6375,0.5125,happy
43,0.7125,0.3125,relax
44,0.3625,0.4875,sad
45,0.5125,0.1375,relax
46,0.5375,0.375,relax
47,0.425,0.425,sad
48,0.4375,0.475,sad
49,0.3625,0.5375,angry
50,0.325,0.475,sad
51,0.325,0.275,sad
52,0.45,0.5125,angry
53,0.4125,0.5125,angry
54,0.2625,0.2875,sad
55,0.6,0.55,happy
56,0.675,0.6,happy
58,0.2875,0.3,sad
59,0.5375,0.3875,relax
60,0.4125,0.675,angry
62,0.65,0.3625,relax
64,0.325,0.4875,sad
65,0.675,0.6,happy
67,0.775,0.725,happy
68,0.35,0.4875,sad
69,0.275,0.3625,sad
70,0.425,0.325,sad
71,0.6125,0.3375,relax
72,0.7125,0.575,happy
73,0.6,0.575,happy
74,0.25,0.4125,sad
76,0.4125,0.275,sad
77,0.4,0.2375,sad
78,0.3,0.3625,sad
79,0.5625,0.5625,happy
80,0.625,0.5125,happy
81,0.6375,0.3625,relax
82,0.2375,0.3125,sad
83,0.6375,0.6,happy
84,0.6125,0.575,happy
85,0.7625,0.65,happy
86,0.55,0.575,happy
87,0.5375,0.2,relax
88,0.7125,0.5625,happy
89,0.4375,0.475,sad
90,0.4125,0.4,sad
91,0.4375,0.5625,angry
92,0.6,0.4625,relax
93,0.775,0.625,happy
95,0.2875,0.45,sad
96,0.725,0.7375,happy
98,0.4125,0.2125,sad
99,0.4125,0.3875,sad
101,0.3,0.225,sad
102,0.6875,0.55,happy
103,0.575,0.2875,relax
104,0.6375,0.2875,relax
105,0.6875,0.5,happy
106,0.45,0.2875,sad
107,0.625,0.475,relax
108,0.4375,0.4,sad
109,0.425,0.4375,sad
110,0.425,0.225,sad
111,0.5375,0.5375,happy
112,0.725,0.675,happy
113,0.55,0.35,relax
114,0.475,0.5875,angry
115,0.925,0.85,happy
116,0.425,0.3625,sad
117,0.3625,0.5,sad
118,0.4875,0.45,sad
119,0.4125,0.275,sad
120,0.35,0.5,sad
121,0.2625,0.3625,sad
122,0.5625,0.45,relax
123,0.6375,0.65,happy
124,0.3375,0.225,sad
125,0.4375,0.4,sad
126,0.5125,0.6375,happy
127,0.25,0.5375,angry
128,0.325,0.375,sad
129,0.4,0.625,angry
130,0.2875,0.4,sad
131,0.6375,0.4875,relax
133,0.225,0.15,sad
134,0.55,0.625,happy
135,0.3375,0.3125,sad
136,0.725,0.65,happy
137,0.4125,0.6,angry
138,0.35,0.175,sad
140,0.4,0.4375,sad
142,0.45,0.475,sad
143,0.375,0.4875,sad
144,0.3,0.4625,sad
145,0.2625,0.55,angry
146,0.175,0.3125,sad
148,0.4625,0.5,sad
149,0.3,0.2625,sad
150,0.5,0.55,angry
151,0.375,0.4375,sad
152,0.425,0.575,angry
153,0.3625,0.4375,sad
154,0.4,0.3875,sad
155,0.325,0.55,angry
156,0.675,0.7125,happy
157,0.375,0.65,angry
158,0.1375,0.325,sad
159,0.35,0.2625,sad
160,0.3125,0.3125,sad
161,0.6625,0.3125,relax
162,0.3375,0.45,sad
163,0.325,0.4375,sad
164,0.3875,0.2375,sad
166,0.2625,0.4,sad
167,0.2125,0.2875,sad
168,0.2875,0.3,sad
169,0.175,0.225,sad
170,0.25,0.5,sad
171,0.1375,0.325,sad
172,0.35,0.5,sad
173,0.45,0.15,sad
174,0.375,0.35,sad
175,0.3375,0.4125,sad
176,0.175,0.3625,sad
177,0.475,0.575,angry
178,0.225,0.3375,sad
179,0.525,0.625,happy
180,0.475,0.6125,angry
181,0.3375,0.1875,sad
182,0.15,0.3375,sad
184,0.325,0.3,sad
185,0.4875,0.45,sad
186,0.3375,0.375,sad
187,0.1875,0.3375,sad
188,0.375,0.2875,sad
189,0.6875,0.7625,happy
190,0.225,0.2625,sad
191,0.5125,0.6625,happy
192,0.6,0.6375,happy
193,0.3875,0.25,sad
194,0.2125,0.4625,sad
195,0.4,0.2125,sad
196,0.4125,0.4375,sad
197,0.15,0.225,sad
198,0.1125,0.2875,sad
199,0.5375,0.5875,happy
201,0.3375,0.475,sad
202,0.45,0.525,angry
203,0.3125,0.475,sad
204,0.325,0.15,sad
205,0.25,0.4375,sad
206,0.1625,0.2,sad
207,0.475,0.475,sad
208,0.475,0.6875,angry
209,0.2625,0.45,sad
210,0.4,0.5625,angry
211,0.2625,0.4875,sad
212,0.45,0.55,angry
213,0.2,0.1875,sad
214,0.325,0.3875,sad
215,0.275,0.2,sad
216,0.4375,0.5375,angry
217,0.3125,0.475,sad
218,0.2375,0.375,sad
219,0.175,0.35,sad
220,0.3875,0.3,sad
221,0.4125,0.3,sad
222,0.35,0.4125,sad
223,0.15,0.3125,sad
224,0.5625,0.5875,happy
225,0.3375,0.4,sad
226,0.4875,0.5,sad
227,0.2625,0.3125,sad
228,0.3125,0.375,sad
229,0.475,0.475,sad
231,0.3875,0.575,angry
232,0.1875,0.2125,sad
233,0.4625,0.4375,sad
234,0.3125,0.3625,sad
235,0.25,0.3375,sad
236,0.1875,0.175,sad
237,0.4,0.3625,sad
238,0.25,0.45,sad
239,0.1625,0.2875,sad
240,0.675,0.7,happy
241,0.3875,0.45,sad
242,0.3125,0.4625,sad
243,0.775,0.3875,relax
244,0.4125,0.4,sad
245,0.4,0.6375,angry
246,0.4875,0.275,sad
247,0.3625,0.4375,sad
248,0.3,0.3375,sad
250,0.3,0.325,sad
253,0.7,0.1875,relax
254,0.5375,0.8,happy
257,0.825,0.7375,happy
258,0.4125,0.4125,sad
260,0.5375,0.325,relax
