song_id,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std
2,143.5546875,99666,958.3269231,0.385037186,0.306628839,0.432540577,0.27467613,0.233287009,0.170030893,2.736471246,14.91092085,0.831937373,44.23345223,0.011277802,2.147488094,0.940247655,0.017371979,1789.152236,483.3424964,2104.961488,363.95768,21.25856796,6.6037324,0.008220597,0.033091981,3775.948677,1138.819806,1.308245957,1.487693192,-0.004305331,0.073440741,0.067953103,0.026721188
3,95.703125,68006,957.8309859,0.443445264,0.296542789,0.309317767,0.299346768,0.195203887,0.21267058,4.137873574,44.80846041,2.251544238,65.40720159,0.011901792,2.952286075,0.523827076,0.000877476,958.364724,477.5558092,1660.823035,523.2005542,22.89166565,7.011850752,0.002434159,0.030847985,2057.569706,1351.687107,0.833859204,0.947935115,0.025908992,0.116252609,0.02415482,0.016008171
4,172.265625,121295,955.0787402,0.34934646,0.293794863,0.477664291,0.270213392,0.259395209,0.126678565,8.989519109,55.52121055,3.597917199,39.98337181,0.010419854,2.606253603,1.44568491,0.039006758,1661.804757,530.3790038,2064.728795,444.8278036,22.02082256,7.800461263,0.007385611,0.033540476,3337.690883,1245.659666,2.10126008,2.381176965,0.007744847,0.073962639,0.066995711,0.033347634
5,99.38401442,70975,959.1216216,0.292784284,0.297506096,0.460379896,0.273348058,0.249804842,0.144675065,5.638987403,28.80475147,-8.805119898,45.69824895,0.006925574,2.796171394,1.128045321,0.057692323,1599.806604,609.0837389,2083.374812,451.168871,24.13000161,6.108513966,0.005222205,0.033798363,3240.20319,1362.631834,1.580752503,1.783034541,-0.003143892,0.09086051,0.063791177,0.034745489
7,117.4538352,85742,963.3932584,0.352041696,0.32631197,0.339988775,0.296385126,0.237523026,0.164061408,17.66777209,126.7990792,4.96234367,46.74245325,0.008484932,3.118622313,1.224029541,0.019197561,1255.913592,503.0915848,2074.011971,465.2898694,19.8061959,7.740482067,0.003186006,0.032273598,3002.056894,1667.624821,1.89776598,2.018403088,0.007300368,0.10063669,0.022700424,0.015200328
8,161.4990234,115307,952.9504132,0.385635638,0.312304802,0.476671622,0.28192966,0.256314721,0.132800968,4.520213463,46.69948518,-0.025885876,79.11095743,0.006771876,5.512752906,0.621052086,0.026295241,1181.15908,1154.443898,1733.167347,1077.507197,21.06862045,7.075347164,0.007061345,0.027526284,2540.418745,2998.972254,0.854551451,1.023046928,0.01265393,0.077698556,0.032511833,0.034107949
10,95.703125,60668,905.4925373,0.26090804,0.306283849,0.444552384,0.290263034,0.242887766,0.156009187,1.20947114,11.82985379,-4.229002981,71.1872951,0.014394974,4.982855665,0.48845166,0.006184149,1601.338687,848.5397743,1930.130509,837.2353754,23.16468025,6.927434172,0.006693567,0.034702703,3374.949625,2300.092666,0.615472771,0.801679638,0.002328522,0.085801763,0.07575705,0.04497746
12,92.28515625,65963,942.3285714,0.359428587,0.305928584,0.460902446,0.286564557,0.251168428,0.142294602,13.53850596,99.21598155,1.219344077,40.34558665,0.014204079,3.833165536,1.900064945,0.076916531,2082.135899,1052.165664,2423.564165,712.826801,19.80603881,7.46482127,0.02239388,0.049248237,4664.085141,2486.569149,2.308122352,2.726124496,0.026895612,0.085762351,0.073437902,0.063190317
13,86.1328125,56445,910.4032258,0.274210917,0.302600415,0.362483031,0.295315208,0.217570303,0.189727427,4.551221771,30.47972992,-6.52459385,55.32154622,0.009112876,3.087345885,0.853213906,0.014671913,1533.33313,819.0393942,2030.592885,497.3668359,24.44934097,6.123561485,0.004827145,0.033486098,3105.779039,1757.69213,1.115623872,1.345136472,0.00381013,0.119959801,0.051592285,0.043585469
17,107.6660156,71635,930.3246753,0.341939714,0.295518944,0.486553851,0.27240957,0.25392782,0.137309853,11.36834621,75.01031661,1.577372984,36.12761905,0.00907304,3.091214228,1.878453255,0.140433177,1889.124179,635.8582437,2192.629359,443.212435,21.24972254,7.342163775,0.01016388,0.031600937,4169.420538,1420.730027,2.398858664,2.796729263,0.014892465,0.063573995,0.069448637,0.038580787
