song_id,valence_mean,arousal_mean
2,3.1,3
3,3.5,3.3
4,5.7,5.5
5,4.4,5.3
7,5.8,6.4
8,3.2,4.8
10,4,4.7
12,5.5,5.8
13,3.2,4
17,4.4,6
18,4.8,3.9
19,5.9,4.3
20,5.4,6.5
21,6.6,6.3
22,4,4.8
24,5.3,3.9
25,7.9,4.7
31,4.7,3.8
32,4.2,3.3
35,4.8,6.5
37,6.6,5.3
39,7.3,5.4
40,4.6,4.8
41,4.3,5.1
42,6.1,5.1
43,6.7,3.5
44,3.9,4.9
45,5.1,2.1
46,5.3,4
47,4.4,4.4
48,4.5,4.8
49,3.9,5.3
50,3.6,4.8
51,3.6,3.2
52,4.6,5.1
53,4.3,5.1
54,3.1,3.3
55,5.8,5.4
56,6.4,5.8
58,3.3,3.4
59,5.3,4.1
60,4.3,6.4
62,6.2,3.9
64,3.6,4.9
65,6.4,5.8
67,7.2,6.8
68,3.8,4.9
69,3.2,3.9
70,4.4,3.6
71,5.9,3.7
72,6.7,5.6
73,5.8,5.6
74,3,4.3
76,4.3,3.2
77,4.2,2.9
78,3.4,3.9
79,5.5,5.5
80,6,5.1
81,6.1,3.9
82,2.9,3.5
83,6.1,5.8
84,5.9,5.6
85,7.1,6.2
86,5.4,5.6
87,5.3,2.6
88,6.7,5.5
89,4.5,4.8
90,4.3,4.2
91,4.5,5.5
92,5.8,4.7
93,7.2,6
95,3.3,4.6
96,6.8,6.9
98,4.3,2.7
99,4.3,4.1
101,3.4,2.8
102,6.5,5.4
103,5.6,3.3
104,6.1,3.3
105,6.5,5
106,4.6,3.3
107,6,4.8
108,4.5,4.2
109,4.4,4.5
110,4.4,2.8
111,5.3,5.3
112,6.8,6.4
113,5.4,3.8
114,4.8,5.7
115,8.4,7.8
116,4.4,3.9
117,3.9,5
118,4.9,4.6
119,4.3,3.2
120,3.8,5
121,3.1,3.9
122,5.5,4.6
123,6.1,6.2
124,3.7,2.8
125,4.5,4.2
126,5.1,6.1
127,3,5.3
128,3.6,4
129,4.2,6
130,3.3,4.2
131,6.1,4.9
133,2.8,2.2
134,5.4,6
135,3.7,3.5
136,6.8,6.2
137,4.3,5.8
138,3.8,2.4
140,4.2,4.5
142,4.6,4.8
143,4,4.9
144,3.4,4.7
145,3.1,5.4
146,2.4,3.5
148,4.7,5
149,3.4,3.1
150,5,5.4
151,4,4.5
152,4.4,5.6
153,3.9,4.5
154,4.2,4.1
155,3.6,5.4
156,6.4,6.7
157,4,6.2
158,2.1,3.6
159,3.8,3.1
160,3.5,3.5
161,6.3,3.5
162,3.7,4.6
163,3.6,4.5
164,4.1,2.9
166,3.1,4.2
167,2.7,3.3
168,3.3,3.4
169,2.4,2.8
170,3,5
171,2.1,3.6
172,3.8,5
173,4.6,2.2
174,4,3.8
175,3.7,4.3
176,2.4,3.9
177,4.8,5.6
178,2.8,3.7
179,5.2,6
180,4.8,5.9
181,3.7,2.5
182,2.2,3.7
184,3.6,3.4
185,4.9,4.6
186,3.7,4
187,2.5,3.7
188,4,3.3
189,6.5,7.1
190,2.8,3.1
191,5.1,6.3
192,5.8,6.1
193,4.1,3
194,2.7,4.7
195,4.2,2.7
196,4.3,4.5
197,2.2,2.8
198,1.9,3.3
199,5.3,5.7
201,3.7,4.8
202,4.6,5.2
203,3.5,4.8
204,3.6,2.2
205,3,4.5
206,2.3,2.6
207,4.8,4.8
208,4.8,6.5
209,3.1,4.6
210,4.2,5.5
211,3.1,4.9
212,4.6,5.4
213,2.6,2.5
214,3.6,4.1
215,3.2,2.6
216,4.5,5.3
217,3.5,4.8
218,2.9,4
219,2.4,3.8
220,4.1,3.4
221,4.3,3.4
222,3.8,4.3
223,2.2,3.5
224,5.5,5.7
225,3.7,4.2
226,4.9,5
227,3.1,3.5
228,3.5,4
229,4.8,4.8
231,4.1,5.6
232,2.5,2.7
233,4.7,4.5
234,3.5,3.9
235,3,3.7
236,2.5,2.4
237,4.2,3.9
238,3,4.6
239,2.3,3.3
240,6.4,6.6
241,4.1,4.6
242,3.5,4.7
243,7.2,4.1
244,4.3,4.2
245,4.2,6.1
246,4.9,3.2
247,3.9,4.5
248,3.4,3.7
250,3.4,3.6
253,6.6,2.5
254,5.3,7.4
257,7.6,6.9
258,4.3,4.3
260,5.3,3.6
262,5.6,6.9
264,5.3,5.5
265,4.5,6.4
266,3.6,4.8
269,4.3,4.8
270,6.1,7.1
272,5.9,6.4
273,5.4,7.2
274,7.7,6
275,5.3,5.5
276,6.1,5.3
278,5.5,5.1
279,3.6,4.7
280,4.2,3.3
281,5.4,7
282,3.2,4.2
284,4.4,5.2
285,3.5,5.1
286,5.7,6.9
288,3.5,5.2
289,5.7,6.7
290,2.1,3.9
292,7.3,7.4
293,6.3,4.2
294,5.5,6.5
296,5.9,5.7
297,3.1,3.6
298,4,5.4
299,2.8,4.3
300,6.8,4.5
301,3.2,3.7
302,6.6,7
303,7,6.4
304,3.8,4.6
305,6.4,6.8
306,5.7,6.7
307,6.1,6.8
308,4.3,6.6
309,5.3,5.8
310,2.1,2.7
311,5.8,6.9
312,4.6,5.8
313,3.6,5.3
314,5.8,5.9
315,6.4,7.5
316,2.8,3.5
317,6.1,4.3
318,5.9,5.9
319,4.5,6.6
320,7.4,6.6
