song_id,valence,arousal
2,0.2625,0.25
3,0.3125,0.2875
4,0.5875,0.5625
5,0.425,0.5375
7,0.6,0.675
8,0.275,0.475
10,0.375,0.4625
12,0.5625,0.6
13,0.275,0.375
17,0.425,0.625
18,0.475,0.3625
19,0.6125,0.4125
20,0.55,0.6875
21,0.7,0.6625
22,0.375,0.475
24,0.5375,0.3625
25,0.8625,0.4625
31,0.4625,0.35
32,0.4,0.2875
35,0.475,0.6875
37,0.7,0.5375
39,0.7875,0.55
40,0.45,0.475
41,0.4125,0.5125
42,0.6375,0.5125
43,0.7125,0.3125
44,0.3625,0.4875
45,0.5125,0.1375
46,0.5375,0.375
47,0.425,0.425
48,0.4375,0.475
49,0.3625,0.5375
50,0.325,0.475
51,0.325,0.275
52,0.45,0.5125
53,0.4125,0.5125
54,0.2625,0.2875
55,0.6,0.55
56,0.675,0.6
58,0.2875,0.3
59,0.5375,0.3875
60,0.4125,0.675
62,0.65,0.3625
64,0.325,0.4875
65,0.675,0.6
67,0.775,0.725
68,0.35,0.4875
69,0.275,0.3625
70,0.425,0.325
71,0.6125,0.3375
72,0.7125,0.575
73,0.6,0.575
74,0.25,0.4125
76,0.4125,0.275
77,0.4,0.2375
78,0.3,0.3625
79,0.5625,0.5625
80,0.625,0.5125
81,0.6375,0.3625
82,0.2375,0.3125
83,0.6375,0.6
84,0.6125,0.575
85,0.7625,0.65
86,0.55,0.575
87,0.5375,0.2
88,0.7125,0.5625
89,0.4375,0.475
90,0.4125,0.4
91,0.4375,0.5625
92,0.6,0.4625
93,0.775,0.625
95,0.2875,0.45
96,0.725,0.7375
98,0.4125,0.2125
99,0.4125,0.3875
101,0.3,0.225
102,0.6875,0.55
103,0.575,0.2875
104,0.6375,0.2875
105,0.6875,0.5
106,0.45,0.2875
107,0.625,0.475
108,0.4375,0.4
109,0.425,0.4375
110,0.425,0.225
111,0.5375,0.5375
112,0.725,0.675
113,0.55,0.35
114,0.475,0.5875
115,0.925,0.85
116,0.425,0.3625
117,0.3625,0.5
118,0.4875,0.45
119,0.4125,0.275
120,0.35,0.5
121,0.2625,0.3625
122,0.5625,0.45
123,0.6375,0.65
124,0.3375,0.225
125,0.4375,0.4
126,0.5125,0.6375
127,0.25,0.5375
128,0.325,0.375
129,0.4,0.625
130,0.2875,0.4
131,0.6375,0.4875
133,0.225,0.15
134,0.55,0.625
135,0.3375,0.3125
136,0.725,0.65
137,0.4125,0.6
138,0.35,0.175
140,0.4,0.4375
142,0.45,0.475
143,0.375,0.4875
144,0.3,0.4625
145,0.2625,0.55
146,0.175,0.3125
148,0.4625,0.5
149,0.3,0.2625
150,0.5,0.55
151,0.375,0.4375
152,0.425,0.575
153,0.3625,0.4375
154,0.4,0.3875
155,0.325,0.55
156,0.675,0.7125
157,0.375,0.65
158,0.1375,0.325
159,0.35,0.2625
160,0.3125,0.3125
161,0.6625,0.3125
162,0.3375,0.45
163,0.325,0.4375
164,0.3875,0.2375
166,0.2625,0.4
167,0.2125,0.2875
168,0.2875,0.3
169,0.175,0.225
170,0.25,0.5
171,0.1375,0.325
172,0.35,0.5
173,0.45,0.15
174,0.375,0.35
175,0.3375,0.4125
176,0.175,0.3625
177,0.475,0.575
178,0.225,0.3375
179,0.525,0.625
180,0.475,0.6125
181,0.3375,0.1875
182,0.15,0.3375
184,0.325,0.3
185,0.4875,0.45
186,0.3375,0.375
187,0.1875,0.3375
188,0.375,0.2875
189,0.6875,0.7625
190,0.225,0.2625
191,0.5125,0.6625
192,0.6,0.6375
193,0.3875,0.25
194,0.2125,0.4625
195,0.4,0.2125
196,0.4125,0.4375
197,0.15,0.225
198,0.1125,0.2875
199,0.5375,0.5875
201,0.3375,0.475
202,0.45,0.525
203,0.3125,0.475
204,0.325,0.15
205,0.25,0.4375
206,0.1625,0.2
207,0.475,0.475
208,0.475,0.6875
209,0.2625,0.45
210,0.4,0.5625
211,0.2625,0.4875
212,0.45,0.55
213,0.2,0.1875
214,0.325,0.3875
215,0.275,0.2
216,0.4375,0.5375
217,0.3125,0.475
218,0.2375,0.375
219,0.175,0.35
220,0.3875,0.3
221,0.4125,0.3
222,0.35,0.4125
223,0.15,0.3125
224,0.5625,0.5875
225,0.3375,0.4
226,0.4875,0.5
227,0.2625,0.3125
228,0.3125,0.375
229,0.475,0.475
231,0.3875,0.575
232,0.1875,0.2125
233,0.4625,0.4375
234,0.3125,0.3625
235,0.25,0.3375
236,0.1875,0.175
237,0.4,0.3625
238,0.25,0.45
239,0.1625,0.2875
240,0.675,0.7
241,0.3875,0.45
242,0.3125,0.4625
243,0.775,0.3875
244,0.4125,0.4
245,0.4,0.6375
246,0.4875,0.275
247,0.3625,0.4375
248,0.3,0.3375
250,0.3,0.325
253,0.7,0.1875
254,0.5375,0.8
257,0.825,0.7375
258,0.4125,0.4125
260,0.5375,0.325
262,0.575,0.7375
264,0.5375,0.5625
265,0.4375,0.675
266,0.325,0.475
269,0.4125,0.475
270,0.6375,0.7625
272,0.6125,0.675
273,0.55,0.775
274,0.8375,0.625
275,0.5375,0.5625
276,0.6375,0.5375
278,0.5625,0.5125
279,0.325,0.4625
280,0.4,0.2875
281,0.55,0.75
282,0.275,0.4
284,0.425,0.525
285,0.3125,0.5125
286,0.5875,0.7375
288,0.3125,0.525
289,0.5875,0.7125
290,0.1375,0.3625
292,0.7875,0.8
293,0.6625,0.4
294,0.5625,0.6875
296,0.6125,0.5875
297,0.2625,0.325
298,0.375,0.55
299,0.225,0.4125
300,0.725,0.4375
301,0.275,0.3375
302,0.7,0.75
303,0.75,0.675
304,0.35,0.45
305,0.675,0.725
306,0.5875,0.7125
307,0.6375,0.725
308,0.4125,0.7
309,0.5375,0.6
310,0.1375,0.2125
311,0.6,0.7375
312,0.45,0.6
313,0.325,0.5375
314,0.6,0.6125
315,0.675,0.8125
316,0.225,0.3125
317,0.6375,0.4125
318,0.6125,0.6125
319,0.4375,0.7
320,0.8,0.7
321,0.7875,0.625
322,0.6375,0.825
323,0.4775,0.59125
324,0.2875,0.4625
325,0.5625,0.55
326,0.55,0.775
327,0.625,0.7625
328,0.525,0.4
329,0.2875,0.4
330,0.6125,0.2625
332,0.5625,0.7375
