song_id,valence,arousal,label
1277,0.2375,0.15,sad
1154,0.3625,0.425,sad
172,0.35,0.5,sad
1286,0.35,0.25,sad
1515,0.425,0.475,sad
1656,0.4625,0.375,sad
1013,0.275,0.3125,sad
1990,0.4,0.3875,sad
1062,0.3875,0.4125,sad
1536,0.475,0.3,sad
684,0.4125,0.4875,sad
1301,0.425,0.225,sad
1408,0.4,0.5,sad
749,0.4,0.4875,sad
1469,0.2625,0.275,sad
1721,0.4,0.2375,sad
178,0.225,0.3375,sad
238,0.25,0.45,sad
1994,0.35,0.3125,sad
1237,0.3875,0.2875,sad
1332,0.1875,0.1625,sad
1417,0.45,0.175,sad
775,0.3375,0.425,sad
1527,0.4375,0.4625,sad
558,0.225,0.275,sad
444,0.1625,0.1875,sad
656,0.2,0.3875,sad
369,0.2375,0.3,sad
203,0.3125,0.475,sad
108,0.4375,0.4,sad
182,0.15,0.3375,sad
1962,0.425,0.5,sad
1022,0.2875,0.2875,sad
1671,0.4,0.2875,sad
234,0.3125,0.3625,sad
77,0.4,0.2375,sad
119,0.4125,0.275,sad
1628,0.4625,0.475,sad
1664,0.4,0.375,sad
1380,0.3875,0.4375,sad
808,0.2625,0.4125,sad
1354,0.45,0.125,sad
1105,0.35,0.3375,sad
1738,0.225,0.475,sad
1770,0.4375,0.2375,sad
485,0.2,0.3375,sad
2,0.2625,0.25,sad
1192,0.3375,0.2375,sad
1448,0.425,0.425,sad
1226,0.3625,0.35,sad
340,0.35,0.45,sad
1818,0.4125,0.275,sad
637,0.15,0.325,sad
1712,0.425,0.2375,sad
1693,0.425,0.35,sad
1169,0.3625,0.225,sad
507,0.4875,0.475,sad
1447,0.425,0.3875,sad
991,0.2625,0.3125,sad
841,0.4,0.4625,sad
1126,0.3625,0.275,sad
1800,0.3,0.2,sad
1193,0.425,0.3625,sad
1176,0.4875,0.2125,sad
704,0.3875,0.4,sad
241,0.3875,0.45,sad
513,0.2625,0.4,sad
1345,0.4375,0.2375,sad
1182,0.2125,0.15,sad
1776,0.475,0.35,sad
1370,0.4125,0.3875,sad
506,0.2375,0.3875,sad
625,0.2625,0.425,sad
1778,0.425,0.275,sad
869,0.2,0.3875,sad
851,0.5,0.425,sad
207,0.475,0.475,sad
733,0.4125,0.5,sad
171,0.1375,0.325,sad
454,0.5,0.475,sad
1475,0.4125,0.275,sad
564,0.4625,0.4875,sad
1809,0.375,0.3875,sad
600,0.3125,0.375,sad
64,0.325,0.4875,sad
554,0.225,0.5,sad
1225,0.3,0.45,sad
1217,0.3625,0.2,sad
190,0.225,0.2625,sad
1487,0.4125,0.175,sad
1488,0.4875,0.3625,sad
468,0.325,0.3,sad
235,0.25,0.3375,sad
1951,0.45,0.375,sad
135,0.3375,0.3125,sad
1419,0.3375,0.1875,sad
1829,0.475,0.325,sad
1174,0.325,0.2875,sad
795,0.15,0.3125,sad
1573,0.4875,0.325,sad
1464,0.475,0.425,sad
279,0.325,0.4625,sad
1691,0.3375,0.325,sad
76,0.4125,0.275,sad
614,0.4125,0.3375,sad
995,0.4625,0.175,sad
1501,0.5,0.4875,sad
1361,0.425,0.1875,sad
1653,0.4125,0.2625,sad
106,0.45,0.2875,sad
1001,0.425,0.35,sad
801,0.2875,0.3125,sad
1783,0.4,0.2875,sad
616,0.3125,0.5,sad
1422,0.3875,0.225,sad
1935,0.4625,0.425,sad
227,0.2625,0.3125,sad
1267,0.4375,0.3375,sad
492,0.425,0.475,sad
18,0.475,0.3625,sad
188,0.375,0.2875,sad
244,0.4125,0.4,sad
1194,0.3,0.1875,sad
1414,0.3375,0.375,sad
663,0.2875,0.4125,sad
1441,0.5,0.375,sad
1127,0.3,0.25,sad
121,0.2625,0.3625,sad
1382,0.475,0.4625,sad
1096,0.35,0.325,sad
1482,0.4125,0.3,sad
1081,0.5,0.3125,sad
1119,0.3,0.1375,sad
1019,0.4125,0.225,sad
1463,0.2875,0.25,sad
1241,0.3875,0.3375,sad
715,0.2375,0.4125,sad
1625,0.4875,0.425,sad
1314,0.3875,0.3875,sad
