song_id,valence,arousal,label
795,0.15,0.3125,sad
1226,0.3625,0.35,sad
521,0.35,0.45,sad
851,0.5,0.425,sad
1841,0.45,0.2625,sad
1935,0.4625,0.425,sad
1774,0.4875,0.475,sad
1203,0.375,0.3,sad
1428,0.4625,0.3125,sad
186,0.3375,0.375,sad
1166,0.45,0.2875,sad
747,0.325,0.4875,sad
823,0.475,0.475,sad
745,0.4,0.075,sad
1768,0.3875,0.2625,sad
1712,0.425,0.2375,sad
1462,0.475,0.3625,sad
1811,0.45,0.4625,sad
652,0.275,0.4125,sad
585,0.375,0.4,sad
279,0.325,0.4625,sad
1178,0.4875,0.4375,sad
1909,0.4875,0.5,sad
144,0.3,0.4625,sad
773,0.4375,0.4625,sad
445,0.175,0.45,sad
170,0.25,0.5,sad
1429,0.25,0.1625,sad
834,0.4625,0.4125,sad
1984,0.3375,0.2375,sad
1104,0.4,0.425,sad
1550,0.475,0.3375,sad
1001,0.425,0.35,sad
1490,0.35,0.2625,sad
1696,0.35,0.2875,sad
1164,0.325,0.2625,sad
826,0.375,0.4625,sad
454,0.5,0.475,sad
1225,0.3,0.45,sad
1497,0.425,0.325,sad
392,0.3,0.475,sad
1136,0.4375,0.3,sad
204,0.325,0.15,sad
1957,0.475,0.475,sad
1781,0.4,0.2125,sad
1709,0.375,0.35,sad
492,0.425,0.475,sad
247,0.3625,0.4375,sad
299,0.225,0.4125,sad
661,0.15,0.225,sad
195,0.4,0.2125,sad
711,0.2375,0.2625,sad
776,0.3125,0.4375,sad
1028,0.4375,0.475,sad
47,0.425,0.425,sad
1681,0.5,0.3125,sad
1487,0.4125,0.175,sad
1891,0.5,0.3125,sad
227,0.2625,0.3125,sad
1153,0.3625,0.1875,sad
499,0.325,0.325,sad
1625,0.4875,0.425,sad
379,0.1125,0.2375,sad
196,0.4125,0.4375,sad
1837,0.4,0.2375,sad
1965,0.2875,0.3125,sad
190,0.225,0.2625,sad
638,0.275,0.425,sad
1027,0.45,0.35,sad
106,0.45,0.2875,sad
1555,0.425,0.2375,sad
1943,0.4,0.425,sad
58,0.2875,0.3,sad
1764,0.4875,0.375,sad
1332,0.1875,0.1625,sad
1486,0.3375,0.2375,sad
1797,0.325,0.3875,sad
525,0.4125,0.475,sad
1818,0.4125,0.275,sad
341,0.35,0.425,sad
1113,0.3,0.25,sad
1013,0.275,0.3125,sad
746,0.3375,0.45,sad
1990,0.4,0.3875,sad
579,0.2625,0.275,sad
1492,0.2875,0.225,sad
1031,0.475,0.5,sad
301,0.275,0.3375,sad
1043,0.4875,0.5,sad
485,0.2,0.3375,sad
1432,0.3375,0.2,sad
967,0.225,0.425,sad
1142,0.275,0.1375,sad
