song_id,valence,arousal,label
2,0.2625,0.25,sad
8,0.275,0.475,sad
10,0.375,0.4625,sad
17,0.425,0.625,angry
18,0.475,0.3625,sad
20,0.55,0.6875,happy
22,0.375,0.475,sad
24,0.5375,0.3625,relax
25,0.8625,0.4625,relax
31,0.4625,0.35,sad
32,0.4,0.2875,sad
35,0.475,0.6875,angry
37,0.7,0.5375,happy
39,0.7875,0.55,happy
42,0.6375,0.5125,happy
43,0.7125,0.3125,relax
46,0.5375,0.375,relax
51,0.325,0.275,sad
53,0.4125,0.5125,angry
55,0.6,0.55,happy
56,0.675,0.6,happy
59,0.5375,0.3875,relax
62,0.65,0.3625,relax
65,0.675,0.6,happy
67,0.775,0.725,happy
69,0.275,0.3625,sad
71,0.6125,0.3375,relax
76,0.4125,0.275,sad
77,0.4,0.2375,sad
79,0.5625,0.5625,happy
81,0.6375,0.3625,relax
82,0.2375,0.3125,sad
83,0.6375,0.6,happy
91,0.4375,0.5625,angry
93,0.775,0.625,happy
99,0.4125,0.3875,sad
101,0.3,0.225,sad
102,0.6875,0.55,happy
108,0.4375,0.4,sad
110,0.425,0.225,sad
111,0.5375,0.5375,happy
117,0.3625,0.5,sad
119,0.4125,0.275,sad
122,0.5625,0.45,relax
128,0.325,0.375,sad
129,0.4,0.625,angry
130,0.2875,0.4,sad
134,0.55,0.625,happy
136,0.725,0.65,happy
137,0.4125,0.6,angry
138,0.35,0.175,sad
140,0.4,0.4375,sad
144,0.3,0.4625,sad
146,0.175,0.3125,sad
149,0.3,0.2625,sad
152,0.425,0.575,angry
157,0.375,0.65,angry
158,0.1375,0.325,sad
159,0.35,0.2625,sad
164,0.3875,0.2375,sad
168,0.2875,0.3,sad
169,0.175,0.225,sad
171,0.1375,0.325,sad
173,0.45,0.15,sad
174,0.375,0.35,sad
180,0.475,0.6125,angry
181,0.3375,0.1875,sad
185,0.4875,0.45,sad
186,0.3375,0.375,sad
189,0.6875,0.7625,happy
191,0.5125,0.6625,happy
193,0.3875,0.25,sad
194,0.2125,0.4625,sad
199,0.5375,0.5875,happy
201,0.3375,0.475,sad
202,0.45,0.525,angry
203,0.3125,0.475,sad
207,0.475,0.475,sad
208,0.475,0.6875,angry
209,0.2625,0.45,sad
211,0.2625,0.4875,sad
215,0.275,0.2,sad
217,0.3125,0.475,sad
220,0.3875,0.3,sad
222,0.35,0.4125,sad
224,0.5625,0.5875,happy
225,0.3375,0.4,sad
228,0.3125,0.375,sad
229,0.475,0.475,sad
232,0.1875,0.2125,sad
233,0.4625,0.4375,sad
234,0.3125,0.3625,sad
235,0.25,0.3375,sad
239,0.1625,0.2875,sad
240,0.675,0.7,happy
242,0.3125,0.4625,sad
246,0.4875,0.275,sad
248,0.3,0.3375,sad
253,0.7,0.1875,relax
262,0.575,0.7375,happy
266,0.325,0.475,sad
272,0.6125,0.675,happy
273,0.55,0.775,happy
275,0.5375,0.5625,happy
278,0.5625,0.5125,happy
279,0.325,0.4625,sad
280,0.4,0.2875,sad
288,0.3125,0.525,angry
289,0.5875,0.7125,happy
292,0.7875,0.8,happy
293,0.6625,0.4,relax
294,0.5625,0.6875,happy
298,0.375,0.55,angry
299,0.225,0.4125,sad
301,0.275,0.3375,sad
302,0.7,0.75,happy
305,0.675,0.725,happy
306,0.5875,0.7125,happy
307,0.6375,0.725,happy
308,0.4125,0.7,angry
311,0.6,0.7375,happy
316,0.225,0.3125,sad
317,0.6375,0.4125,relax
319,0.4375,0.7,angry
321,0.7875,0.625,happy
322,0.6375,0.825,happy
324,0.2875,0.4625,sad
326,0.55,0.775,happy
328,0.525,0.4,relax
329,0.2875,0.4,sad
330,0.6125,0.2625,relax
332,0.5625,0.7375,happy
333,0.7125,0.6375,happy
338,0.25,0.35,sad
340,0.35,0.45,sad
341,0.35,0.425,sad
343,0.75,0.8875,happy
346,0.7125,0.7875,happy
356,0.45,0.575,angry
357,0.475,0.6875,angry
358,0.575,0.4,relax
364,0.5625,0.6875,happy
368,0.475,0.6375,angry
371,0.525,0.7,happy
372,0.325,0.475,sad
374,0.75,0.4875,relax
378,0.5625,0.6125,happy
379,0.1125,0.2375,sad
381,0.625,0.7125,happy
383,0.4,0.325,sad
384,0.325,0.3875,sad
392,0.3,0.475,sad
395,0.7125,0.65,happy
399,0.7125,0.75,happy
403,0.5125,0.525,happy
406,0.5375,0.4125,relax
419,0.2875,0.375,sad
420,0.4375,0.55,angry
425,0.7625,0.725,happy
427,0.525,0.6,happy
429,0.2875,0.4125,sad
435,0.4375,0.6125,angry
436,0.4125,0.525,angry
441,0.45,0.5125,angry
442,0.3875,0.4375,sad
449,0.325,0.35,sad
451,0.4875,0.425,sad
453,0.45,0.575,angry
456,0.6375,0.1625,relax
460,0.35,0.35,sad
461,0.475,0.425,sad
462,0.6,0.45,relax
463,0.5,0.5875,angry
466,0.7,0.6125,happy
468,0.325,0.3,sad
469,0.5125,0.5375,happy
472,0.6875,0.525,happy
479,0.4375,0.5875,angry
481,0.3,0.4625,sad
482,0.1125,0.3125,sad
487,0.4375,0.5375,angry
488,0.075,0.3,sad
489,0.45,0.525,angry
499,0.325,0.325,sad
500,0.625,0.525,happy
501,0.1875,0.425,sad
502,0.475,0.45,sad
503,0.6,0.675,happy
513,0.2625,0.4,sad
515,0.35,0.3,sad
520,0.375,0.5625,angry
521,0.35,0.45,sad
522,0.3125,0.2125,sad
523,0.5125,0.6125,happy
529,0.4625,0.6,angry
530,0.2875,0.3125,sad
535,0.6375,0.6875,happy
536,0.5125,0.4375,relax
540,0.3875,0.425,sad
550,0.4,0.6125,angry
555,0.525,0.475,relax
556,0.575,0.6375,happy
561,0.7375,0.75,happy
565,0.2625,0.25,sad
568,0.55,0.2625,relax
579,0.2625,0.275,sad
584,0.1875,0.175,sad
586,0.525,0.6125,happy
600,0.3125,0.375,sad
605,0.425,0.625,angry
607,0.425,0.6375,angry
608,0.2375,0.35,sad
613,0.525,0.725,happy
620,0.6,0.425,relax
622,0.4375,0.5,sad
628,0.4875,0.725,angry
635,0.7,0.825,happy
637,0.15,0.325,sad
639,0.6375,0.6625,happy
643,0.3125,0.4,sad
645,0.45,0.5875,angry
647,0.25,0.6,angry
648,0.5125,0.725,happy
649,0.65,0.7125,happy
653,0.5375,0.6875,happy
658,0.425,0.5875,angry
662,0.6125,0.5125,happy
666,0.5375,0.5,happy
667,0.4,0.4875,sad
672,0.425,0.6625,angry
673,0.7,0.7125,happy
675,0.5125,0.6,happy
677,0.6875,0.5375,happy
681,0.4875,0.7,angry
682,0.475,0.625,angry
687,0.7875,0.8,happy
689,0.35,0.45,sad
690,0.175,0.425,sad
693,0.65,0.5375,happy
697,0.475,0.6,angry
699,0.3375,0.4375,sad
702,0.8125,0.2875,relax
703,0.5125,0.625,happy
706,0.5625,0.625,happy
709,0.6,0.5,happy
711,0.2375,0.2625,sad
714,0.425,0.475,sad
718,0.6125,0.6875,happy
719,0.7625,0.775,happy
726,0.75,0.325,relax
727,0.4125,0.4375,sad
728,0.7375,0.8125,happy
729,0.675,0.3125,relax
732,0.575,0.6625,happy
734,0.5875,0.6625,happy
735,0.4125,0.4875,sad
739,0.65,0.7375,happy
742,0.6375,0.6875,happy
744,0.6375,0.5625,happy
747,0.325,0.4875,sad
758,0.475,0.6125,angry
759,0.7125,0.6125,happy
764,0.6625,0.8125,happy
767,0.525,0.6875,happy
769,0.65,0.5,happy
777,0.65,0.5125,happy
780,0.6,0.65,happy
784,0.4625,0.5875,angry
790,0.775,0.55,happy
791,0.2125,0.45,sad
794,0.1875,0.4,sad
796,0.525,0.5125,happy
797,0.4875,0.55,angry
798,0.6875,0.6125,happy
