song_id,valence,arousal
2,0.2625,0.25
8,0.275,0.475
10,0.375,0.4625
17,0.425,0.625
18,0.475,0.3625
20,0.55,0.6875
22,0.375,0.475
24,0.5375,0.3625
25,0.8625,0.4625
31,0.4625,0.35
32,0.4,0.2875
35,0.475,0.6875
37,0.7,0.5375
39,0.7875,0.55
42,0.6375,0.5125
43,0.7125,0.3125
46,0.5375,0.375
51,0.325,0.275
53,0.4125,0.5125
55,0.6,0.55
56,0.675,0.6
59,0.5375,0.3875
62,0.65,0.3625
65,0.675,0.6
67,0.775,0.725
69,0.275,0.3625
71,0.6125,0.3375
76,0.4125,0.275
77,0.4,0.2375
79,0.5625,0.5625
81,0.6375,0.3625
82,0.2375,0.3125
83,0.6375,0.6
91,0.4375,0.5625
93,0.775,0.625
99,0.4125,0.3875
101,0.3,0.225
102,0.6875,0.55
108,0.4375,0.4
110,0.425,0.225
111,0.5375,0.5375
117,0.3625,0.5
119,0.4125,0.275
122,0.5625,0.45
128,0.325,0.375
129,0.4,0.625
130,0.2875,0.4
134,0.55,0.625
136,0.725,0.65
137,0.4125,0.6
138,0.35,0.175
140,0.4,0.4375
144,0.3,0.4625
146,0.175,0.3125
149,0.3,0.2625
152,0.425,0.575
157,0.375,0.65
158,0.1375,0.325
159,0.35,0.2625
164,0.3875,0.2375
168,0.2875,0.3
169,0.175,0.225
171,0.1375,0.325
173,0.45,0.15
174,0.375,0.35
180,0.475,0.6125
181,0.3375,0.1875
185,0.4875,0.45
186,0.3375,0.375
189,0.6875,0.7625
191,0.5125,0.6625
193,0.3875,0.25
194,0.2125,0.4625
199,0.5375,0.5875
201,0.3375,0.475
202,0.45,0.525
203,0.3125,0.475
207,0.475,0.475
208,0.475,0.6875
209,0.2625,0.45
211,0.2625,0.4875
215,0.275,0.2
217,0.3125,0.475
220,0.3875,0.3
222,0.35,0.4125
224,0.5625,0.5875
225,0.3375,0.4
228,0.3125,0.375
229,0.475,0.475
232,0.1875,0.2125
233,0.4625,0.4375
234,0.3125,0.3625
235,0.25,0.3375
239,0.1625,0.2875
240,0.675,0.7
242,0.3125,0.4625
246,0.4875,0.275
248,0.3,0.3375
253,0.7,0.1875
262,0.575,0.7375
266,0.325,0.475
272,0.6125,0.675
273,0.55,0.775
275,0.5375,0.5625
278,0.5625,0.5125
279,0.325,0.4625
280,0.4,0.2875
288,0.3125,0.525
289,0.5875,0.7125
292,0.7875,0.8
293,0.6625,0.4
294,0.5625,0.6875
298,0.375,0.55
299,0.225,0.4125
301,0.275,0.3375
302,0.7,0.75
305,0.675,0.725
306,0.5875,0.7125
307,0.6375,0.725
308,0.4125,0.7
311,0.6,0.7375
316,0.225,0.3125
317,0.6375,0.4125
319,0.4375,0.7
321,0.7875,0.625
322,0.6375,0.825
324,0.2875,0.4625
326,0.55,0.775
328,0.525,0.4
329,0.2875,0.4
330,0.6125,0.2625
332,0.5625,0.7375
333,0.7125,0.6375
338,0.25,0.35
340,0.35,0.45
341,0.35,0.425
343,0.75,0.8875
346,0.7125,0.7875
356,0.45,0.575
357,0.475,0.6875
358,0.575,0.4
364,0.5625,0.6875
368,0.475,0.6375
371,0.525,0.7
372,0.325,0.475
374,0.75,0.4875
378,0.5625,0.6125
379,0.1125,0.2375
381,0.625,0.7125
383,0.4,0.325
384,0.325,0.3875
392,0.3,0.475
395,0.7125,0.65
399,0.7125,0.75
403,0.5125,0.525
406,0.5375,0.4125
419,0.2875,0.375
420,0.4375,0.55
425,0.7625,0.725
427,0.525,0.6
429,0.2875,0.4125
435,0.4375,0.6125
436,0.4125,0.525
441,0.45,0.5125
442,0.3875,0.4375
449,0.325,0.35
451,0.4875,0.425
453,0.45,0.575
456,0.6375,0.1625
460,0.35,0.35
461,0.475,0.425
462,0.6,0.45
463,0.5,0.5875
466,0.7,0.6125
468,0.325,0.3
469,0.5125,0.5375
472,0.6875,0.525
479,0.4375,0.5875
481,0.3,0.4625
482,0.1125,0.3125
487,0.4375,0.5375
488,0.075,0.3
489,0.45,0.525
499,0.325,0.325
500,0.625,0.525
501,0.1875,0.425
502,0.475,0.45
503,0.6,0.675
513,0.2625,0.4
515,0.35,0.3
520,0.375,0.5625
521,0.35,0.45
522,0.3125,0.2125
523,0.5125,0.6125
529,0.4625,0.6
530,0.2875,0.3125
535,0.6375,0.6875
536,0.5125,0.4375
540,0.3875,0.425
550,0.4,0.6125
555,0.525,0.475
556,0.575,0.6375
561,0.7375,0.75
565,0.2625,0.25
568,0.55,0.2625
579,0.2625,0.275
584,0.1875,0.175
586,0.525,0.6125
