song_id,valence,arousal
2,3.1,3
8,3.2,4.8
10,4,4.7
17,4.4,6
18,4.8,3.9
20,5.4,6.5
22,4,4.8
24,5.3,3.9
25,7.9,4.7
31,4.7,3.8
32,4.2,3.3
35,4.8,6.5
37,6.6,5.3
39,7.3,5.4
42,6.1,5.1
43,6.7,3.5
46,5.3,4
51,3.6,3.2
53,4.3,5.1
55,5.8,5.4
56,6.4,5.8
59,5.3,4.1
62,6.2,3.9
65,6.4,5.8
67,7.2,6.8
69,3.2,3.9
71,5.9,3.7
76,4.3,3.2
77,4.2,2.9
79,5.5,5.5
81,6.1,3.9
82,2.9,3.5
83,6.1,5.8
91,4.5,5.5
93,7.2,6
99,4.3,4.1
101,3.4,2.8
102,6.5,5.4
108,4.5,4.2
110,4.4,2.8
111,5.3,5.3
117,3.9,5
119,4.3,3.2
122,5.5,4.6
128,3.6,4
129,4.2,6
130,3.3,4.2
134,5.4,6
136,6.8,6.2
137,4.3,5.8
138,3.8,2.4
140,4.2,4.5
144,3.4,4.7
146,2.4,3.5
149,3.4,3.1
152,4.4,5.6
157,4,6.2
158,2.1,3.6
159,3.8,3.1
164,4.1,2.9
168,3.3,3.4
169,2.4,2.8
171,2.1,3.6
173,4.6,2.2
174,4,3.8
180,4.8,5.9
181,3.7,2.5
185,4.9,4.6
186,3.7,4
189,6.5,7.1
191,5.1,6.3
193,4.1,3
194,2.7,4.7
199,5.3,5.7
201,3.7,4.8
202,4.6,5.2
203,3.5,4.8
207,4.8,4.8
208,4.8,6.5
209,3.1,4.6
211,3.1,4.9
215,3.2,2.6
217,3.5,4.8
220,4.1,3.4
222,3.8,4.3
224,5.5,5.7
225,3.7,4.2
228,3.5,4
229,4.8,4.8
232,2.5,2.7
233,4.7,4.5
234,3.5,3.9
235,3,3.7
239,2.3,3.3
240,6.4,6.6
242,3.5,4.7
246,4.9,3.2
248,3.4,3.7
253,6.6,2.5
262,5.6,6.9
266,3.6,4.8
272,5.9,6.4
273,5.4,7.2
275,5.3,5.5
278,5.5,5.1
279,3.6,4.7
280,4.2,3.3
288,3.5,5.2
289,5.7,6.7
292,7.3,7.4
293,6.3,4.2
294,5.5,6.5
298,4,5.4
299,2.8,4.3
301,3.2,3.7
302,6.6,7
305,6.4,6.8
306,5.7,6.7
307,6.1,6.8
308,4.3,6.6
311,5.8,6.9
316,2.8,3.5
317,6.1,4.3
319,4.5,6.6
321,7.3,6
322,6.1,7.6
324,3.3,4.7
326,5.4,7.2
328,5.2,4.2
329,3.3,4.2
330,5.9,3.1
332,5.5,6.9
333,6.7,6.1
338,3,3.8
340,3.8,4.6
341,3.8,4.4
343,7,8.1
346,6.7,7.3
356,4.6,5.6
357,4.8,6.5
358,5.6,4.2
364,5.5,6.5
368,4.8,6.1
371,5.2,6.6
372,3.6,4.8
374,7,4.9
378,5.5,5.9
379,1.9,2.9
381,6,6.7
383,4.2,3.6
384,3.6,4.1
392,3.4,4.8
395,6.7,6.2
399,6.7,7
403,5.1,5.2
406,5.3,4.3
419,3.3,4
420,4.5,5.4
425,7.1,6.8
427,5.2,5.8
429,3.3,4.3
435,4.5,5.9
436,4.3,5.2
441,4.6,5.1
442,4.1,4.5
