song_id,beats_total_perc,beats_avg_perc,beats_median_perc,beats_std_perc,tempo_perc,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,valence,arousal,quadrant
d911,64051,941.9264706,941.5,553.3351903,92.28515625,92.28515625,62511,933,0.413849909,0.293531481,0.516124132,0.268947699,0.260391216,0.124618409,1.661439524,7.67075654,0.407322379,46.91329382,0.005888527,3.115225789,0.844948471,0.020120628,1849.870867,528.8830306,2040.572339,395.4217383,19.80449964,7.487436347,0.011397364,0.018198119,3753.783123,1196.480705,1.177427959,1.347593537,0.004232913,0.057907434,0.089577095,0.038308668,0.7625,0.375,relax
d1477,53808,960.8571429,958,553.2262334,75.99954044,75.99954044,53830,961.25,0.378979831,0.294211623,0.437375986,0.279944142,0.241196487,0.158611438,2.291821293,14.51590115,0.964945209,51.27474663,0.005326641,3.034844898,0.800338745,0.035719603,1655.481476,689.4759017,1974.754584,476.8261737,21.18338852,6.2365536,0.007084349,0.014131118,3249.36924,1505.110088,1.101965842,1.254967219,0.016948216,0.081855224,0.070431673,0.04203267,0.5125,0.4375,relax
d1773,111063,1000.567568,999,533.4144075,151.9990809,151.9990809,111088,1000.792793,0.269036443,0.283669374,0.445771341,0.263945536,0.247699258,0.148251174,1.185094731,6.618135414,-9.886339326,80.67631168,-0.001655481,1.643624716,0.411828488,0.018869003,807.8612224,101.9863734,774.5417428,97.39523147,25.34527431,6.325099776,3.61E-05,0.00018322,1352.502933,174.292317,0.697574826,0.779603952,-0.024632872,0.085102152,0.055125895,0.010308636,0.55,0.3875,relax
p463,62544,933.4925373,933,531.5924927,95.703125,95.703125,60720,920,0.373303001,0.307591941,0.566233715,0.252642593,0.273553716,0.092204651,7.585006227,55.62091807,-0.403197701,59.33255152,-0.000402954,3.124526102,1.515550256,0.311586857,1581.448437,700.8525188,2200.77,534.8204073,20.03282915,6.115351159,0.008627235,0.028020771,3335.224397,1880.832573,1.615689143,2.62705161,0.004006669,0.052162126,0.056967511,0.03861381,0.5625,0.3,relax
p921,77245,858.2777778,858.5,490.0735779,135.9991776,135.9991776,77274,858.6,0.467727566,0.276459915,0.515697546,0.273017406,0.25595098,0.13350067,10.22409663,64.24044153,6.012126817,23.314471,0.017771357,2.276338084,2.721213341,0.136148661,2973.197429,592.5937035,2738.150214,222.0158302,19.41113459,6.898527859,0.051970918,0.042130213,6236.021867,958.4372588,2.987688393,3.391538314,-0.009269592,0.059065284,0.14278108,0.057893277,0.5625,0.475,relax
d1443,86798,953.8241758,953,551.1170394,123.046875,123.046875,86834,954.2197802,0.22539674,0.29345452,0.419861615,0.279124992,0.251082692,0.142445831,1.601409439,15.63462499,-16.70275602,68.80566985,0.001305571,2.252255943,0.35918802,0.015513658,1164.278,239.6615326,1624.089073,264.2387853,23.92859486,5.74558301,0.000723146,0.001086599,2094.426224,631.3481078,0.56838688,0.662375242,0.018695106,0.096059345,0.0456611,0.010681756,0.6,0.2375,relax
d161,96544,946.5098039,949,524.8824844,143.5546875,143.5546875,94744,938.0594059,0.379932494,0.286724106,0.548230108,0.253553662,0.259384562,0.126700365,0.816132184,9.058464811,-7.748132177,79.80034932,0.008421012,1.859304853,0.355407774,0.177138329,970.305505,297.3699064,1324.564136,378.7782346,20.29017594,7.059235178,0.002093347,0.032103404,1750.451943,855.1571827,0.549285861,0.935765597,-0.002960388,0.053235566,0.044024303,0.014366444,0.6625,0.3125,relax
d1383,65585,950.5072464,951,547.5129705,95.703125,95.703125,65608,950.8405797,0.411548995,0.263175018,0.517180147,0.258318039,0.253142108,0.138753042,4.075589513,29.61788122,2.96476326,46.37109553,-0.009570221,2.267908078,1.029215097,0.017317815,1401.955527,471.7898387,1955.367171,386.1934688,19.27999289,6.937166725,0.007299494,0.015695263,2918.793462,1256.542494,1.498514903,1.716199785,-0.018888448,0.056401205,0.046461548,0.020168133,0.575,0.25,relax
d1638,83256,858.3092784,858,498.8861276,143.5546875,143.5546875,83276,858.5154639,0.32152061,0.301773908,0.465808331,0.277752715,0.244132887,0.154053455,1.105524353,6.590824079,-4.135373929,65.19961596,-0.017020461,4.180548384,0.647597432,0.011488101,1623.066968,678.3419127,1670.93149,437.1713257,20.89008118,7.392087665,0.008668035,0.018617859,3066.370347,1288.387029,0.766710052,1.017069673,-0.020255447,0.069555016,0.083699922,0.048945707,0.6125,0.3625,relax
d1606,53928,963,959,550.6936859,75.99954044,75.99954044,53998,964.25,0.343600101,0.296556756,0.503574093,0.264355093,0.261115274,0.123094058,1.847662495,12.41538822,-5.983940311,54.24090668,2.45E-05,2.415054594,0.696988285,0.01319973,1393.857898,326.7337777,1674.282767,257.9543107,21.72281687,7.591843992,0.002510495,0.003961517,2982.326411,776.703635,1.008177096,1.190328231,0.024479592,0.072550002,0.058463491,0.019403626,0.575,0.4875,relax
