song_id,beats_total_perc,beats_avg_perc,beats_median_perc,beats_std_perc,tempo_perc,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std,valence,arousal,quadrant
p1,46849,688.9558824,689,390.4692288,129.1992188,129.1992188,45496,689.3333333,0.400595191,0.298970801,0.402285857,0.316265908,0.226863182,0.178511708,6.725911866,52.54270233,1.460438877,33.68694276,0.01133568,3.960130488,1.923089862,0.035111114,2874.280246,1095.384271,2633.679801,478.1599337,21.29865253,7.041594253,0.038755186,0.055984721,5859.691693,1894.741686,1.912150245,2.296730288,0.013560646,0.099638222,0.130365079,0.087782819,0.575,0.4,relax
p4,39354,596.2727273,596,330.5088614,151.9990809,151.9990809,39377,596.6212121,0.52262732,0.286879693,0.455350331,0.293081467,0.242504615,0.156604102,29.52440613,313.4750243,3.657603997,45.20247874,0.022806111,4.224012676,1.771065354,0.018286219,1753.920436,943.3002254,2245.629773,652.3728673,20.65549978,7.408265001,0.007727088,0.033248182,3907.875293,2267.857915,2.264966136,2.779241949,0.013201902,0.091914257,0.035374926,0.040920128,0.2875,0.2625,sad
p5,346081,1783.92268,1784.5,1033.646832,135.9991776,135.9991776,346126,1784.154639,0.541599282,0.290635539,0.39159674,0.31186502,0.220582591,0.186216685,21.68767694,235.7876975,4.373838721,44.84346952,0.006413739,4.645559816,1.744215369,0.034893848,2208.561246,1280.254661,2432.41519,688.2444979,20.70269703,7.986009278,0.018898571,0.040839959,4795.694169,2469.81432,1.980876416,2.545270603,-0.016017441,0.103379162,0.067458483,0.080127628,0.2,0.15,sad
p6,42350,622.7941176,622.5,360.2974081,143.5546875,143.5546875,42379,623.2205882,0.566550899,0.25282322,0.335957029,0.30310398,0.200151126,0.208021298,19.77009588,160.4164972,4.998831395,42.2018048,0.004053976,4.350685307,2.510212898,0.138669997,2507.5977,1118.826272,2501.780486,628.5347297,21.40875333,7.861939238,0.021821195,0.048385419,5198.751057,2224.805582,2.572014255,3.284027345,0.024729781,0.114717085,0.087749908,0.06483127,0.35,0.5125,angry
p7,32747,595.4,595,341.8599181,117.4538352,117.4538352,31581,584.8333333,0.392134766,0.306925783,0.584890527,0.252614706,0.272377391,0.095623689,17.15967341,111.5543672,2.351808867,26.38593604,0.012605596,2.866403442,2.898422003,0.070216909,2716.772131,977.763785,2679.91893,377.4074457,20.24698093,7.030236648,0.036326382,0.055472594,5929.198439,1564.222629,3.318359402,3.901730427,0.00692067,0.057684458,0.128637929,0.091813154,0.725,0.7,happy
p8,57847,863.3880597,863,485.0907579,103.359375,103.359375,57870,851.0294118,0.390945772,0.297208009,0.405228529,0.287930287,0.227550978,0.177634134,22.73597519,117.34381,8.658091215,31.64917221,0.016107141,3.527452654,2.866859436,0.030815447,2154.091267,876.7761828,2519.07563,560.5177747,20.49096745,6.374227782,0.014281224,0.020651639,4787.754798,2044.999617,3.633710816,4.106437725,-0.011472276,0.089897294,0.074883662,0.043810466,0.225,0.3875,sad
p9,15988,484.4848485,477,268.0671695,89.10290948,89.10290948,16049,486.3333333,0.430475814,0.30610795,0.434318355,0.309119671,0.235811426,0.166512176,23.81020833,212.1749187,3.060159752,28.54123316,0.03342508,3.256104708,3.021837711,0.002039194,2939.282126,1054.386598,2751.091261,457.5285739,20.26811889,6.864669892,0.037127387,0.058811739,6062.670087,1852.846004,3.213890633,3.67243188,0.004230001,0.09208867,0.117895582,0.078413355,0.2875,0.45,sad
p10,45490,722.0634921,721,364.3117831,129.1992188,129.1992188,45657,702.4153846,0.40607917,0.295530268,0.529880296,0.273853718,0.262355864,0.120427297,17.50695186,123.8941656,3.162387065,29.75896187,0.02422664,3.454601498,2.783665895,0.041891344,2644.274587,941.8984486,2730.458058,374.9606553,20.28559687,6.435998458,0.029246874,0.036094036,5757.29195,1691.386129,3.201582353,3.974421351,0.01475716,0.06795754,0.108232139,0.069883058,0.425,0.4375,sad
p12,22173,554.325,555,321.8395864,92.28515625,92.28515625,23319,568.7560976,0.460403874,0.312815933,0.459333668,0.280510815,0.252619759,0.139701792,24.18023318,175.0326425,5.502610383,33.31388817,0.00871743,3.097360974,2.482749224,0.060676564,2263.842639,899.3632023,2575.021729,475.3896462,19.26900297,7.326881887,0.017761089,0.037541118,5119.77319,1828.22348,2.996003595,3.619903989,0.022316002,0.075784342,0.066977518,0.051252598,0.575,0.6875,happy
p13,46544,694.6865672,695,402.9874339,123.046875,123.046875,45170,684.3939394,0.376623874,0.286841898,0.422969257,0.280754178,0.233191394,0.170162002,18.04838486,96.21206506,4.982568771,22.41261738,0.021499186,2.160635036,3.693811655,0.070769385,2990.465092,583.0335852,2774.3694,292.3124764,19.44569651,6.449451462,0.053088702,0.048052993,6473.230169,1126.334991,4.188899468,4.551982186,0.035168174,0.078336526,0.143450791,0.053623385,0.5875,0.825,happy
p14,33284,554.7333333,553.5,319.7564629,143.5546875,69.83741554,14778,509.5862069,0.275668814,0.292850152,0.407986925,0.276985407,0.230565795,0.173703044,18.20096611,100.3403656,4.735597602,30.47765116,0.029008786,2.020523305,2.4289186,0.022838507,1996.230072,574.0734093,2170.492671,369.746472,22.23774083,5.866398903,0.010293674,0.032650251,4231.907744,1218.584347,3.328313484,3.548725866,-0.022223528,0.096693054,0.083843809,0.031272262,0.575,0.5625,happy
p15,53424,712.32,712,408.5070431,135.9991776,135.9991776,53450,712.6666667,0.315837187,0.288359177,0.457349895,0.272947643,0.247120098,0.149214579,19.22804947,80.58339903,5.394819554,29.63274887,0.014517076,2.130543579,2.671520948,0.043364495,2167.947987,757.5798648,2448.492583,408.2809149,22.39722749,6.43754555,0.013123773,0.017348163,4710.489373,1549.851903,3.46076091,3.762550315,0.010598631,0.085331807,0.093003505,0.048554886,0.6625,0.6125,happy
p16,72809,1103.166667,1106,636.5046974,78.30255682,75.99954044,70803,1089.276923,0.378492812,0.287084275,0.447106154,0.274047688,0.242590214,0.156471471,15.35589897,70.02588199,5.570864749,33.29334369,0.010755408,1.924095102,2.57349062,0.152381077,1969.184526,616.5500051,2173.290256,460.2926466,21.77004832,6.330881527,0.012366877,0.01331438,4027.94281,1425.397807,3.475752147,3.726183419,0.010380565,0.085616519,0.089642575,0.03670131,0.575,0.5375,happy
p17,144089,1083.37594,1084,627.9225397,161.4990234,161.4990234,144135,1083.721805,0.301865597,0.292699394,0.511552324,0.249710694,0.259200306,0.127076885,22.69060772,107.8052177,6.468702282,28.73028319,0.007323875,1.615426334,3.236666203,0.076362103,2097.41495,438.4712733,2406.790166,324.7687255,20.57913974,7.239811964,0.014773087,0.023550253,4633.753927,1342.625074,4.346423566,4.707766147,0.001175773,0.069350466,0.096235232,0.027265907,0.675,0.825,happy
p18,145724,1138.46875,1139,582.2687972,161.4990234,161.4990234,145773,1138.851563,0.435363554,0.306064264,0.526469814,0.26984086,0.258924658,0.127637592,19.70853908,154.2847079,5.456176188,35.92081751,0.002819217,2.452262752,2.419555187,0.059261028,2391.922075,796.0198033,2669.307243,315.5638303,20.05240281,7.40510955,0.020070214,0.03595864,5510.022049,1368.627437,2.953203392,3.582960522,-0.001803146,0.071593126,0.089495289,0.083843726,0.8375,0.8,happy
p19,60914,909.1641791,908,524.6734193,95.703125,95.703125,59132,882.5671642,0.450026449,0.273794536,0.518046596,0.256999026,0.258265944,0.128965249,15.19695413,76.77062574,7.545322633,23.29603495,0.015026656,1.525309336,2.90544486,0.062269699,2522.192153,418.858682,2704.46953,291.8009289,19.50976676,6.424679722,0.027603524,0.015687102,5672.640865,1132.887265,3.67289836,3.866694832,0.015106687,0.05912828,0.106658787,0.029377474,0.75,0.7625,happy
p20,352057,1692.581731,1698.5,976.7495068,161.4990234,161.4990234,349354,1687.700483,0.340453158,0.293035135,0.528064683,0.257790515,0.267182476,0.109301683,1.173163582,6.88889049,-4.595992019,51.82759341,-0.000924547,2.550837226,0.856040537,0.176796079,2520.392141,603.0619761,2532.223119,403.8802267,21.35206363,5.848532859,0.026462706,0.040285148,5358.756632,1476.237138,0.900821968,1.218805302,0.014351686,0.061669366,0.11900967,0.037559546,0.6375,0.55,happy
p21,62097,940.8636364,941,546.9587787,89.10290948,89.10290948,60623,932.6615385,0.372921706,0.290589727,0.462489395,0.285566181,0.247890538,0.147931114,19.6924132,127.7018447,8.833038475,17.86122139,0.015856499,1.821774912,3.157534838,0.054202568,3137.303168,550.5234966,3011.88931,220.5500966,20.29432394,6.581084157,0.041856367,0.038653586,6998.118972,948.6769025,3.453430821,3.629383054,0.004868779,0.072060207,0.122984204,0.053256696,0.775,0.8625,happy
p23,31805,578.2727273,580,331.8597981,123.046875,123.046875,31783,577.8727273,0.371834563,0.297208136,0.578167267,0.245899426,0.27328923,0.092985644,12.998983,77.83531839,6.317435933,29.94361296,0.021457253,2.126827063,2.277207613,0.02895933,2209.637828,624.8197946,2485.034574,411.5364282,19.81268376,6.434665508,0.018716862,0.036256593,4636.688657,1408.104597,2.928697273,3.281138403,-0.002393094,0.059317656,0.097364009,0.046932931,0.675,0.625,happy
p25,59100,882.0895522,872,515.7777414,95.703125,95.703125,59121,882.4029851,0.362225595,0.29299072,0.512976271,0.263490933,0.257320283,0.130841909,14.52115321,77.47814539,8.22394724,24.60665972,0.018104214,2.190005865,2.756453753,0.159176171,2550.557353,695.3689581,2687.121746,398.158903,19.71920364,6.44077754,0.030252369,0.039514638,5439.351317,1545.951075,3.44911855,3.64419744,0.000171106,0.063365304,0.118710582,0.046968799,0.784090909,0.761363636,happy
p26,13538,376.0555556,376,219.9727186,123.046875,123.046875,13548,376.3333333,0.57811624,0.265492503,0.475248887,0.298018802,0.247671664,0.148297269,25.32032756,185.3574099,8.884239256,26.57790141,0.034912755,3.500898338,3.101998568,0.03293705,2824.719987,799.5425587,2972.69472,326.1995337,18.62852653,6.402368703,0.037138231,0.061027456,6502.335403,1327.405374,3.245200639,3.772633782,-0.008781326,0.065380859,0.088041879,0.059030675,0.7625,0.825,happy
p28,70034,1045.283582,1045,595.0091384,83.35433468,83.35433468,70055,1030.220588,0.46715708,0.267129596,0.463470117,0.275831734,0.24742234,0.148712874,28.51876814,154.6255891,9.367662109,29.87349326,0.009568417,1.968646758,2.883728743,0.058401626,1761.365712,535.2417401,2244.506067,321.4572197,19.67618675,7.252268098,0.008534524,0.015394498,3871.888109,1198.783168,4.207424884,4.475887241,0.016236433,0.068209785,0.058045358,0.03719561,0.575,0.4875,relax
p29,86048,878.0408163,879,507.8580655,143.5546875,143.5546875,86081,878.377551,0.286527043,0.297071405,0.523048465,0.263745986,0.259036371,0.127410722,14.08634993,69.64678886,4.544266211,27.84779134,0.017477305,1.9664477,2.474152803,0.156465888,2236.382991,519.8875339,2445.998683,373.422447,21.25156428,6.323979195,0.016784642,0.028065106,4823.193912,1342.681258,3.207393554,3.424406859,0.006877416,0.072347916,0.102577451,0.032956194,0.675,0.7,happy
p30,98262,1013.010309,1014,581.9325694,123.046875,123.046875,98279,1013.185567,0.254094498,0.29823251,0.423182359,0.288410152,0.232802813,0.170693244,14.03418338,103.0480983,2.772643701,30.35893541,0.014888503,1.756249712,2.279242754,0.062172052,2406.615809,428.2421967,2373.362575,288.1101244,22.66005241,6.934281306,0.017319174,0.027099462,4840.586266,1076.527924,2.884755133,3.162584511,-0.013901349,0.093292172,0.116526513,0.03543449,0.5375,0.6125,happy
