song_id,valence,arousal,label
d911,0.7625,0.375,relax
d1477,0.5125,0.4375,relax
d1773,0.55,0.3875,relax
p463,0.5625,0.3,relax
p921,0.5625,0.475,relax
d1443,0.6,0.2375,relax
d161,0.6625,0.3125,relax
d1383,0.575,0.25,relax
d1638,0.6125,0.3625,relax
d1606,0.575,0.4875,relax
d611,0.5125,0.475,relax
p325,0.6125,0.4875,relax
p40,0.6625,0.375,relax
d46,0.5375,0.375,relax
d977,0.7875,0.3125,relax
d1711,0.5,0.275,relax
d1719,0.5,0.2875,relax
d726,0.75,0.325,relax
d1748,0.55,0.3875,relax
d939,0.65,0.2125,relax
d1387,0.6375,0.4375,relax
d1021,0.65,0.475,relax
d1374,0.625,0.3875,relax
d1503,0.6125,0.3875,relax
d81,0.6375,0.3625,relax
p621,0.55,0.3625,relax
d782,0.775,0.4625,relax
d1772,0.575,0.4125,relax
d1442,0.5375,0.225,relax
d1676,0.575,0.4875,relax
d1757,0.5,0.2625,relax
d59,0.5375,0.3875,relax
p280,0.525,0.325,relax
d1454,0.525,0.325,relax
d43,0.7125,0.3125,relax
d1642,0.5125,0.4875,relax
d45,0.5125,0.1375,relax
d1538,0.6625,0.4625,relax
d1779,0.5875,0.2375,relax
d1437,0.5125,0.4375,relax
d1086,0.6125,0.4125,relax
d845,0.5125,0.375,relax
d1799,0.6,0.4375,relax
p706,0.6125,0.4,relax
d1523,0.7375,0.475,relax
d1478,0.5125,0.3125,relax
d423,0.525,0.4375,relax
d330,0.6125,0.2625,relax
d1615,0.5875,0.45,relax
d1683,0.625,0.475,relax
d19,0.6125,0.4125,relax
p28,0.575,0.4875,relax
d1765,0.6,0.45,relax
d691,0.5,0.3375,relax
d25,0.8625,0.4625,relax
p462,0.65,0.4125,relax
d1466,0.6375,0.4375,relax
p544,0.625,0.45,relax
d1211,0.5625,0.4625,relax
d1312,0.5375,0.375,relax
d253,0.7,0.1875,relax
d1047,0.5375,0.425,relax
p486,0.575,0.375,relax
p428,0.5625,0.4875,relax
d62,0.65,0.3625,relax
d1891,0.5,0.3125,relax
d1415,0.5875,0.4625,relax
p119,0.6625,0.4875,relax
d1316,0.525,0.375,relax
p763,0.55,0.3875,relax
d1883,0.575,0.4375,relax
d103,0.575,0.2875,relax
d1451,0.5125,0.475,relax
d1410,0.625,0.425,relax
d260,0.5375,0.325,relax
d986,0.6,0.4375,relax
p771,0.5625,0.425,relax
p225,0.525,0.4125,relax
d1038,0.5,0.3875,relax
d1681,0.5,0.3125,relax
d107,0.625,0.475,relax
d406,0.5375,0.4125,relax
d1749,0.7125,0.45,relax
d1836,0.575,0.45,relax
d1570,0.525,0.45,relax
d1614,0.7,0.45,relax
d893,0.7875,0.2875,relax
d1228,0.55,0.2875,relax
d1446,0.6,0.275,relax
d1281,0.55,0.4375,relax
d1402,0.575,0.1875,relax
d1300,0.625,0.4375,relax
d1618,0.6375,0.3625,relax
d1177,0.525,0.2875,relax
d1650,0.6125,0.4625,relax
d1546,0.5375,0.425,relax
d1393,0.65,0.3875,relax
d702,0.8125,0.2875,relax
p433,0.5,0.3625,relax
d1289,0.5,0.425,relax
p181,0.625,0.4875,relax
d24,0.5375,0.3625,relax
d729,0.675,0.3125,relax
d1576,0.55,0.3625,relax
d1465,0.525,0.3375,relax
d928,0.5,0.375,relax
d1077,0.675,0.475,relax
p587,0.6,0.3875,relax
d1185,0.65,0.475,relax
d1528,0.5625,0.45,relax
d650,0.625,0.4,relax
d1363,0.5125,0.325,relax
p578,0.625,0.4625,relax
d1457,0.55,0.475,relax
d1602,0.5,0.3375,relax
d352,0.5625,0.4375,relax
d1862,0.5125,0.4875,relax
