song_id,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std
d911,92.28515625,62511,933.0,0.41384990899999996,0.29353148100000004,0.5161241320000001,0.268947699,0.26039121600000004,0.124618409,1.6614395240000002,7.67075654,0.407322379,46.91329382,0.005888526999999999,3.1152257889999997,0.8449484709999999,0.020120628,1849.870867,528.8830306,2040.572339,395.4217383,19.80449964,7.487436347,0.011397363999999998,0.018198119,3753.7831229999997,1196.4807050000004,1.177427959,1.3475935369999998,0.004232913,0.057907434,0.089577095,0.038308668
d1477,75.99954044,53830,961.25,0.378979831,0.29421162300000003,0.437375986,0.279944142,0.241196487,0.15861143800000002,2.291821293,14.51590115,0.964945209,51.27474663,0.005326641,3.0348448980000002,0.800338745,0.035719602999999996,1655.481476,689.4759017000001,1974.754584,476.82617369999997,21.18338852,6.2365536,0.007084349,0.014131118,3249.36924,1505.1100880000001,1.101965842,1.254967219,0.016948216000000002,0.081855224,0.070431673,0.04203267
d1773,151.99908090000002,111088,1000.792793,0.269036443,0.283669374,0.445771341,0.26394553600000004,0.247699258,0.148251174,1.185094731,6.618135414,-9.886339326,80.67631168,-0.001655481,1.643624716,0.411828488,0.018869003,807.8612224,101.9863734,774.5417428,97.39523147,25.34527431,6.325099776,3.6099999999999997e-05,0.00018322,1352.502933,174.292317,0.697574826,0.779603952,-0.024632872000000004,0.08510215199999999,0.055125895,0.010308636
p463,95.703125,60720,920.0,0.373303001,0.30759194100000004,0.566233715,0.252642593,0.273553716,0.092204651,7.585006227,55.62091807,-0.403197701,59.33255152,-0.000402954,3.124526102,1.515550256,0.311586857,1581.448437,700.8525187999999,2200.77,534.8204072999998,20.03282915,6.115351158999999,0.008627235,0.028020771,3335.224397,1880.8325730000001,1.6156891430000002,2.62705161,0.004006669,0.052162125999999996,0.056967511,0.03861381
p921,135.9991776,77274,858.6,0.46772756600000004,0.276459915,0.5156975460000001,0.273017406,0.25595098,0.13350067,10.22409663,64.24044153,6.012126817,23.314470999999998,0.017771356999999998,2.2763380840000003,2.7212133410000003,0.136148661,2973.197429,592.5937035000002,2738.1502140000002,222.01583019999995,19.41113459,6.898527859,0.051970918,0.042130213,6236.021867,958.4372588,2.987688393,3.391538314,-0.009269592,0.059065284,0.14278108,0.057893277
d1443,123.046875,86834,954.2197802000001,0.22539674,0.29345452,0.419861615,0.279124992,0.251082692,0.142445831,1.601409439,15.63462499,-16.70275602,68.80566985,0.0013055710000000002,2.252255943,0.35918802,0.015513658,1164.278,239.6615326,1624.089073,264.2387853,23.92859486,5.74558301,0.000723146,0.001086599,2094.426224,631.3481078,0.56838688,0.662375242,0.018695106,0.096059345,0.045661099999999996,0.010681756
d161,143.5546875,94744,938.0594059,0.379932494,0.28672410600000003,0.5482301079999999,0.253553662,0.259384562,0.126700365,0.8161321840000001,9.058464811,-7.7481321770000005,79.80034932,0.008421012,1.859304853,0.355407774,0.17713832899999998,970.305505,297.3699064,1324.564136,378.7782346,20.29017594,7.059235178,0.002093347,0.032103404,1750.451943,855.1571826999997,0.549285861,0.9357655970000001,-0.002960388,0.053235566,0.044024303,0.014366443999999999
d1383,95.703125,65608,950.8405797,0.411548995,0.263175018,0.517180147,0.258318039,0.25314210800000003,0.138753042,4.075589513,29.61788122,2.96476326,46.37109553,-0.009570221,2.267908078,1.029215097,0.017317815,1401.9555269999994,471.7898387,1955.367171,386.1934688,19.27999289,6.937166725,0.007299494,0.015695263,2918.793462,1256.542494,1.498514903,1.716199785,-0.018888448000000002,0.056401205,0.046461548,0.020168133
d1638,143.5546875,83276,858.5154639000001,0.32152061,0.30177390800000004,0.465808331,0.277752715,0.244132887,0.154053455,1.105524353,6.590824079,-4.135373929,65.19961596,-0.017020461,4.180548384,0.6475974320000001,0.011488101,1623.0669679999999,678.3419127000002,1670.93149,437.1713257,20.89008118,7.392087665,0.008668035,0.018617859,3066.370347,1288.387029,0.766710052,1.017069673,-0.020255447,0.069555016,0.083699922,0.048945707000000005
d1606,75.99954044,53998,964.25,0.343600101,0.29655675600000003,0.503574093,0.264355093,0.261115274,0.123094058,1.847662495,12.41538822,-5.9839403110000005,54.24090668,2.45e-05,2.415054594,0.696988285,0.01319973,1393.857898,326.73377769999996,1674.282767,257.9543107,21.72281687,7.591843992,0.002510495,0.003961517,2982.326411,776.703635,1.008177096,1.1903282309999998,0.024479592,0.072550002,0.058463491,0.019403626
d611,123.046875,54628,748.3287671,0.465388229,0.26291017699999997,0.48508169,0.26688172,0.255876852,0.133642694,6.330855464,33.88621978,4.2932880110000005,38.4801698,0.015763934,2.408563124,1.511753559,0.048595085999999996,1751.4648550000006,373.60368569999997,1936.7159420000007,235.08035189999998,20.02527279,7.48266803,0.007218547,0.024217606000000003,3684.336604,475.0611182,2.1959323719999997,2.382739651,0.014195233,0.065987263,0.074535378,0.037809819
p325,184.5703125,122565,942.8076923,0.43092521899999997,0.285639716,0.38125922,0.30978775199999997,0.218453418,0.18870993,17.35395609,147.4091867,4.950310417,30.45680994,0.014411402,3.137036652,2.16419673,0.053496443,2610.084215,824.0019377,2837.42649,376.7260661,21.78574992,6.672238012999999,0.018972488,0.026871117000000003,6135.055891,1585.956963,2.509630125,2.9772559889999997,0.009896423,0.099911624,0.075855277,0.052720272
p40,80.74951172,36010,750.2083332999997,0.311320937,0.299613105,0.515523655,0.273261747,0.256969199,0.13153008800000002,6.275990402000001,39.23815723,1.727095034,32.17509014,0.010815951,2.295528215,1.625887156,0.10161077199999999,2651.849088,710.0416663,2827.946977,379.7251514,21.62183305,6.19989154,0.023882723999999998,0.028251943999999998,6042.350367,1579.177583,1.8812518480000002,2.20213448,0.010510493000000001,0.073303384,0.110579182,0.051917644000000006
d46,89.10290948,63917,953.9850746,0.352364943,0.309524162,0.577123744,0.252318138,0.27176480199999997,0.09735104300000001,3.933846402,30.45982677,-1.3573149480000002,48.797055,0.00746633,4.090271427,1.093091726,0.011161538,1803.268591,791.7737256,2075.808118,665.7630232000001,19.9652845,6.881206177999999,0.010206336,0.028931138999999998,3742.176564,1930.616354,1.418446743,1.762682752,-0.01442085,0.052924247,0.073730217,0.043613473
d977,89.10290948,56433,895.7619048,0.475626658,0.248584534,0.596034506,0.21835815100000008,0.274374216,0.089733621,15.65305927,60.43064231,7.072468123999999,28.95917903,0.011909055,1.3376635190000001,3.7346341610000002,0.005841139,2322.327849,188.9202296,1981.7289190000001,132.7040946,20.46341993,10.36569571,0.017269593,0.030899272999999998,4462.198881,361.3887106,5.0682807930000005,5.101789276,0.015545358,0.041989023,0.13736853400000001,0.020132534
d1711,117.4538352,81852,962.9647059,0.39252052600000004,0.309788318,0.346803352,0.297642723,0.20479060899999998,0.203455498,3.747256492,35.80472115,0.462231444,56.71039621,-0.002883019,2.9280400560000004,0.778279543,0.03234373,1661.273106,781.6026532000003,2226.138854,597.3269843999999,22.42364725,7.48709974,0.006486633,0.013849098999999998,3888.598708,1985.0527789999999,0.959006923,1.216978434,-0.03396735,0.105763115,0.052838179000000006,0.041675985
d1719,117.4538352,80374,945.5764706,0.233912857,0.287339055,0.417584356,0.276518787,0.240651523,0.159437065,1.357057842,6.8041821160000024,-16.29017977,99.06973077,-0.00039277699999999997,1.581396229,0.36189460799999995,0.014317642,615.984113,119.72771110000001,521.315534,83.11077145,24.25785107,5.834762894,3.78e-06,1e-05,1008.516124,211.78251519999998,0.634663076,0.698207887,0.017041023,0.104459905,0.051390215999999996,0.014348101
d726,123.046875,85312,947.9111111,0.33125657199999997,0.297610081,0.500554331,0.26770669199999997,0.267146557,0.109389444,3.151006601,18.30275215,-8.091003225,49.86828355,0.005153603,2.7506176960000004,1.102517247,0.07858799400000001,1705.062993,416.6204356,1562.710462,222.95796869999998,21.8139949,7.183051092,0.004804154000000001,0.032708231000000004,2941.728425,654.2765912000001,1.527405745,1.830061236,-0.003570394,0.07282419700000001,0.10021790300000001,0.036244182
