song_id,valence,arousal,label
d1038,0.5,0.3875,relax
p35,0.625,0.3375,relax
d617,0.6875,0.25,relax
d1725,0.525,0.425,relax
p621,0.55,0.3625,relax
d1415,0.5875,0.4625,relax
d938,0.7875,0.4,relax
d904,0.5875,0.4,relax
p918,0.6375,0.4,relax
p582,0.5,0.4125,relax
d1003,0.5375,0.2875,relax
d243,0.775,0.3875,relax
p461,0.6375,0.375,relax
d973,0.6875,0.45,relax
p225,0.525,0.4125,relax
d568,0.55,0.2625,relax
d1642,0.5125,0.4875,relax
d936,0.55,0.4625,relax
d1465,0.525,0.3375,relax
d46,0.5375,0.375,relax
d1669,0.5625,0.4875,relax
d1650,0.6125,0.4625,relax
d462,0.6,0.45,relax
d43,0.7125,0.3125,relax
d845,0.5125,0.375,relax
d1360,0.5625,0.2375,relax
d1383,0.575,0.25,relax
d1116,0.5875,0.25,relax
p526,0.525,0.4625,relax
d987,0.6625,0.325,relax
d1570,0.525,0.45,relax
d1506,0.5,0.475,relax
p879,0.6375,0.4875,relax
p600,0.65,0.4125,relax
d92,0.6,0.4625,relax
d1441,0.5,0.375,relax
d1638,0.6125,0.3625,relax
d1765,0.6,0.45,relax
d1854,0.525,0.4375,relax
p921,0.5625,0.475,relax
d1799,0.6,0.4375,relax
d1208,0.65,0.45,relax
d839,0.5875,0.425,relax
d536,0.5125,0.4375,relax
d1285,0.5125,0.4875,relax
d1278,0.5125,0.3875,relax
d71,0.6125,0.3375,relax
d1355,0.6625,0.35,relax
d1039,0.6625,0.45,relax
d851,0.5,0.425,relax
d1941,0.525,0.425,relax
d24,0.5375,0.3625,relax
d25,0.8625,0.4625,relax
p119,0.6625,0.4875,relax
d1585,0.5,0.3625,relax
d1451,0.5125,0.475,relax
d131,0.6375,0.4875,relax
p578,0.625,0.4625,relax
d1577,0.525,0.4625,relax
d1440,0.5125,0.4875,relax
d122,0.5625,0.45,relax
d1898,0.5125,0.4,relax
d317,0.6375,0.4125,relax
p181,0.625,0.4875,relax
d1759,0.55,0.4625,relax
d437,0.525,0.4125,relax
d45,0.5125,0.1375,relax
p486,0.575,0.375,relax
d62,0.65,0.3625,relax
d1602,0.5,0.3375,relax
d352,0.5625,0.4375,relax
d537,0.5,0.2,relax
d1676,0.575,0.4875,relax
d1037,0.5,0.425,relax
p411,0.6375,0.175,relax
d1730,0.5375,0.3625,relax
p1,0.575,0.4,relax
d1637,0.5625,0.325,relax
d328,0.525,0.4,relax
d1777,0.5375,0.425,relax
d1779,0.5875,0.2375,relax
d1316,0.525,0.375,relax
d330,0.6125,0.2625,relax
d1394,0.625,0.3875,relax
d1454,0.525,0.325,relax
d902,0.75,0.2875,relax
d107,0.625,0.475,relax
d928,0.5,0.375,relax
d1687,0.5125,0.4625,relax
d1798,0.5875,0.375,relax
d1478,0.5125,0.3125,relax
p979,0.5125,0.3625,relax
d380,0.575,0.475,relax
d1503,0.6125,0.3875,relax
d1880,0.55,0.275,relax
d19,0.6125,0.4125,relax
p280,0.525,0.325,relax
p148,0.5,0.4,relax
d1793,0.5125,0.4,relax
d1836,0.575,0.45,relax
d702,0.8125,0.2875,relax
d1688,0.525,0.4625,relax
d1862,0.5125,0.4875,relax
d1714,0.6375,0.375,relax
p174,0.534090909,0.477272727,relax
d1678,0.5125,0.4,relax
d1021,0.65,0.475,relax
d1177,0.525,0.2875,relax
p518,0.5125,0.425,relax
d1300,0.625,0.4375,relax
d1554,0.6,0.4375,relax
d1899,0.5,0.3875,relax
d726,0.75,0.325,relax
d260,0.5375,0.325,relax
d1327,0.5625,0.225,relax
p415,0.522727273,0.477272727,relax
d1631,0.5875,0.475,relax
p325,0.6125,0.4875,relax
p809,0.65,0.1875,relax
d1835,0.5375,0.275,relax
d1610,0.675,0.3875,relax
d161,0.6625,0.3125,relax
d1086,0.6125,0.4125,relax
d1891,0.5,0.3125,relax
d1749,0.7125,0.45,relax
d691,0.5,0.3375,relax
d1805,0.5875,0.4875,relax
d1387,0.6375,0.4375,relax
d104,0.6375,0.2875,relax
p433,0.5,0.3625,relax
p683,0.7375,0.2375,relax
d654,0.5125,0.425,relax
d1578,0.6125,0.475,relax
d1528,0.5625,0.45,relax
d423,0.525,0.4375,relax
d1470,0.5125,0.275,relax
p235,0.7,0.45,relax
d300,0.725,0.4375,relax
d1816,0.5,0.4375,relax
d1537,0.6125,0.3,relax
d1443,0.6,0.2375,relax
d1579,0.6,0.4875,relax
p358,0.6875,0.3875,relax
d1757,0.5,0.2625,relax
p931,0.5,0.4375,relax
d1331,0.5375,0.425,relax
p28,0.575,0.4875,relax
d1615,0.5875,0.45,relax
p151,0.6125,0.325,relax
d1279,0.575,0.4,relax
p462,0.65,0.4125,relax
p356,0.5625,0.475,relax
p905,0.575,0.475,relax
d454,0.5,0.475,relax
d1690,0.55,0.45,relax
d1591,0.6125,0.4625,relax
d1374,0.625,0.3875,relax
p230,0.7375,0.3625,relax
d980,0.6,0.4125,relax
d1681,0.5,0.3125,relax
p771,0.5625,0.425,relax
p763,0.55,0.3875,relax
d1312,0.5375,0.375,relax
d1538,0.6625,0.4625,relax
d1826,0.5125,0.3375,relax
d1722,0.5,0.2625,relax
d1081,0.5,0.3125,relax
p810,0.65,0.4125,relax
p170,0.6,0.3,relax
