song_id,valence,arousal,label
pb879,0.6375,0.4875,relax
pb35,0.625,0.3375,relax
pb921,0.5625,0.475,relax
pb280,0.525,0.325,relax
pb518,0.5125,0.425,relax
pb181,0.625,0.4875,relax
pb918,0.6375,0.4,relax
pb225,0.525,0.4125,relax
pb40,0.6625,0.375,relax
pb411,0.6375,0.175,relax
pb230,0.7375,0.3625,relax
pb587,0.6,0.3875,relax
pb351,0.55,0.275,relax
pb905,0.575,0.475,relax
pb683,0.7375,0.2375,relax
pb548,0.55,0.45,relax
pb1,0.575,0.4,relax
pb767,0.5125,0.475,relax
pb486,0.575,0.375,relax
pb715,0.525,0.325,relax
pb809,0.65,0.1875,relax
pb462,0.65,0.4125,relax
pb325,0.6125,0.4875,relax
pb600,0.65,0.4125,relax
pb771,0.5625,0.425,relax
pb979,0.5125,0.3625,relax
pb508,0.5375,0.3625,relax
pb544,0.625,0.45,relax
pb461,0.6375,0.375,relax
pb299,0.65,0.25,relax
pb151,0.6125,0.325,relax
pb897,0.5625,0.3875,relax
pb463,0.5625,0.3,relax
pb869,0.5125,0.45,relax
pb415,0.522727273,0.477272727,relax
pb810,0.65,0.4125,relax
pb28,0.575,0.4875,relax
pb358,0.6875,0.3875,relax
pb354,0.5125,0.35,relax
pb763,0.55,0.3875,relax
pb170,0.6,0.3,relax
pb428,0.5625,0.4875,relax
pb578,0.625,0.4625,relax
pb609,0.5125,0.4375,relax
pb356,0.5625,0.475,relax
pb310,0.675,0.4,relax
pb119,0.6625,0.4875,relax
pb621,0.55,0.3625,relax
pb174,0.534090909,0.477272727,relax
pb953,0.55,0.3375,relax
pb706,0.6125,0.4,relax
pb235,0.7,0.45,relax
pb526,0.525,0.4625,relax
pb864,0.409090909,0.488636364,sad
pb347,0.3375,0.1875,sad
pb123,0.4875,0.3125,sad
pb885,0.4875,0.425,sad
pb591,0.35,0.25,sad
pb260,0.3,0.4625,sad
pb775,0.475,0.3375,sad
pb516,0.4625,0.4,sad
pb446,0.4875,0.425,sad
pb705,0.4375,0.1875,sad
pb694,0.3375,0.3875,sad
pb659,0.375,0.3875,sad
pb56,0.275,0.4125,sad
pb913,0.275,0.35,sad
pb63,0.4625,0.375,sad
pb946,0.4,0.425,sad
pb252,0.3625,0.1375,sad
pb401,0.25,0.35,sad
pb60,0.409090909,0.420454545,sad
pb992,0.3625,0.4625,sad
pb257,0.3125,0.4125,sad
pb894,0.375,0.375,sad
pb948,0.4,0.4875,sad
pb267,0.35,0.275,sad
pb412,0.4375,0.5,sad
pb931,0.5,0.4375,sad
pb656,0.4125,0.4875,sad
pb61,0.275,0.375,sad
pb506,0.375,0.275,sad
pb366,0.2875,0.2625,sad
pb550,0.375,0.4375,sad
pb100,0.3,0.175,sad
pb277,0.3875,0.2,sad
pb783,0.45,0.475,sad
pb197,0.4375,0.3375,sad
pb435,0.35,0.275,sad
pb968,0.4,0.4875,sad
pb523,0.3375,0.3375,sad
pb851,0.4125,0.4625,sad
pb383,0.4125,0.5,sad
pb309,0.3875,0.35,sad
pb349,0.3375,0.275,sad
pb934,0.3875,0.4875,sad
pb612,0.375,0.4625,sad
pb5,0.2,0.15,sad
pb9,0.2875,0.45,sad
pb348,0.3,0.4625,sad
pb926,0.4875,0.25,sad
pb398,0.4375,0.4375,sad
pb750,0.2625,0.4,sad
pb273,0.3625,0.3375,sad
pb8,0.225,0.3875,sad
pb419,0.225,0.0875,sad
pb393,0.4625,0.5375,angry
pb970,0.4875,0.7,angry
pb983,0.5,0.775,angry
pb594,0.4375,0.5125,angry
pb777,0.475,0.525,angry
pb673,0.2,0.5125,angry
pb677,0.3625,0.5625,angry
pb952,0.4875,0.525,angry
pb672,0.4625,0.55,angry
pb676,0.475,0.55,angry
pb911,0.3875,0.525,angry
pb583,0.5,0.5125,angry
pb693,0.4,0.6,angry
pb445,0.4625,0.5875,angry
pb796,0.375,0.6,angry
pb780,0.4375,0.5125,angry
pb520,0.15,0.6625,angry
pb962,0.2,0.6375,angry
pb319,0.5,0.7375,angry
pb228,0.425,0.55,angry
pb135,0.4,0.7375,angry
pb935,0.386363636,0.511363636,angry
pb969,0.175,0.5125,angry
pb769,0.475,0.525,angry
pb540,0.3875,0.5125,angry
pb6,0.35,0.5125,angry
pb727,0.475,0.55,angry
pb500,0.425,0.7,angry
pb522,0.4625,0.5375,angry
