song_id,beats_total_perc,beats_avg_perc,beats_median_perc,beats_std_perc,tempo_perc,tempo,beats_total,beats_avg,chroma_stft_mean,chroma_stft_std,chroma_cq_mean,chroma_cq_std,chroma_cens_mean,chroma_cens_std,melspectrogram_mean,melspectrogram_std,mfcc_mean,mfcc_std,mfcc_delta_mean,mfcc_delta_std,rms_mean,rms_std,centroid_mean,centroid_std,spec_bw_mean,spec_bw_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rolloff_mean,rolloff_std,poly_mean,poly_std,tonnetz_mean,tonnetz_std,zcr_mean,zcr_std
1,46849,688.9558824,689.0,390.4692288,129.1992188,129.1992188,45496,689.3333332999998,0.400595191,0.298970801,0.402285857,0.316265908,0.226863182,0.17851170800000002,6.7259118660000015,52.54270233,1.460438877,33.68694276,0.01133568,3.960130488,1.923089862,0.035111114,2874.2802460000007,1095.384271,2633.679801,478.1599337,21.29865253,7.041594253,0.038755186,0.055984721,5859.691693,1894.741686,1.912150245,2.296730288,0.013560646,0.099638222,0.130365079,0.087782819
4,39354,596.2727272999998,596.0,330.50886139999994,151.99908090000002,151.99908090000002,39377,596.6212121,0.52262732,0.286879693,0.455350331,0.293081467,0.242504615,0.156604102,29.52440613,313.4750243000001,3.657603997,45.20247874,0.022806111,4.224012676,1.771065354,0.018286219,1753.920436,943.3002254,2245.629773,652.3728672999998,20.65549978,7.408265001,0.007727088000000002,0.033248182,3907.875293,2267.857915,2.264966136,2.779241949,0.013201902,0.091914257,0.035374926,0.040920128
5,346081,1783.92268,1784.5,1033.646832,135.9991776,135.9991776,346126,1784.154639,0.5415992820000001,0.290635539,0.39159674,0.31186502,0.220582591,0.186216685,21.68767694,235.7876975,4.373838721,44.84346952,0.006413739,4.6455598160000005,1.744215369,0.034893848,2208.561246,1280.254661,2432.41519,688.2444978999998,20.70269703,7.986009277999999,0.018898571,0.040839959,4795.6941689999985,2469.81432,1.980876416,2.545270603,-0.016017441,0.103379162,0.067458483,0.08012762799999999
6,42350,622.7941176,622.5,360.2974081,143.5546875,143.5546875,42379,623.2205882000002,0.566550899,0.25282322,0.335957029,0.30310398,0.200151126,0.208021298,19.77009588,160.41649719999995,4.998831395,42.2018048,0.004053976,4.350685307,2.510212898,0.138669997,2507.5977,1118.826272,2501.780486,628.5347297000002,21.40875333,7.861939238,0.021821195,0.048385419000000006,5198.751057,2224.805582,2.572014255,3.284027345,0.024729781,0.114717085,0.087749908,0.06483127
7,32747,595.4,595.0,341.8599181,117.4538352,117.4538352,31581,584.8333332999998,0.392134766,0.306925783,0.584890527,0.252614706,0.272377391,0.095623689,17.15967341,111.5543672,2.351808867,26.38593604,0.012605596,2.866403442,2.8984220030000003,0.07021690900000001,2716.772131,977.763785,2679.9189300000007,377.4074457,20.24698093,7.030236648,0.036326382,0.055472594000000014,5929.198439,1564.222629,3.318359402,3.901730427,0.00692067,0.057684458,0.128637929,0.091813154
8,57847,863.3880597000001,863.0,485.0907579,103.359375,103.359375,57870,851.0294117999998,0.390945772,0.297208009,0.405228529,0.287930287,0.227550978,0.17763413399999994,22.73597519,117.34381,8.658091215,31.64917221,0.016107141000000002,3.527452654,2.8668594360000004,0.030815447000000006,2154.091267,876.7761828,2519.0756300000007,560.5177747,20.49096745,6.374227782,0.014281224,0.020651639,4787.754798,2044.999617,3.633710816,4.106437725,-0.011472276000000002,0.089897294,0.074883662,0.043810466
9,15988,484.48484850000006,477.0,268.0671695,89.10290948,89.10290948,16049,486.33333330000005,0.430475814,0.30610795,0.434318355,0.30911967100000004,0.235811426,0.16651217599999998,23.81020833,212.1749187,3.060159752,28.54123316,0.03342508,3.256104708,3.0218377110000003,0.002039194,2939.282126,1054.386598,2751.091261,457.5285739,20.26811889,6.864669892,0.037127387000000005,0.058811739,6062.670087,1852.846004,3.213890633,3.67243188,0.004230001,0.09208867,0.117895582,0.078413355
10,45490,722.0634921,721.0,364.3117831,129.1992188,129.1992188,45657,702.4153846,0.40607917,0.295530268,0.529880296,0.273853718,0.262355864,0.120427297,17.50695186,123.8941656,3.162387065,29.75896187,0.02422664,3.454601498,2.783665895,0.041891344,2644.274587,941.8984486,2730.458058,374.9606553,20.28559687,6.435998457999999,0.029246874,0.036094036,5757.29195,1691.386129,3.201582353,3.974421351,0.01475716,0.06795754,0.108232139,0.069883058
12,22173,554.325,555.0,321.8395864,92.28515625,92.28515625,23319,568.7560976,0.460403874,0.312815933,0.459333668,0.280510815,0.252619759,0.139701792,24.18023318,175.0326425,5.502610383,33.31388817,0.00871743,3.097360974,2.482749224,0.060676564,2263.842639,899.3632023,2575.021729,475.3896462,19.26900297,7.326881887000001,0.017761089,0.037541118,5119.77319,1828.22348,2.996003595,3.619903989,0.022316002,0.075784342,0.066977518,0.051252598
13,46544,694.6865672,695.0,402.9874339,123.046875,123.046875,45170,684.3939393999998,0.376623874,0.286841898,0.422969257,0.280754178,0.233191394,0.17016200199999998,18.04838486,96.21206506,4.982568771,22.41261738,0.021499186,2.160635036,3.693811655,0.070769385,2990.465092000001,583.0335852000002,2774.3694,292.3124764,19.44569651,6.449451462000001,0.053088702,0.048052993,6473.230169,1126.334991,4.188899468,4.551982186,0.035168174,0.07833652599999999,0.143450791,0.053623385
14,33284,554.7333332999998,553.5,319.7564629,143.5546875,69.83741554,14778,509.5862069,0.275668814,0.292850152,0.407986925,0.276985407,0.230565795,0.17370304399999995,18.20096611,100.3403656,4.735597602,30.47765116,0.029008786,2.020523305,2.4289186000000003,0.022838507,1996.230072,574.0734093,2170.492671,369.746472,22.23774083,5.866398902999999,0.010293674,0.032650251,4231.907744,1218.584347,3.328313484,3.5487258660000003,-0.022223528,0.096693054,0.083843809,0.031272262
15,53424,712.32,712.0,408.5070431,135.9991776,135.9991776,53450,712.6666667000002,0.315837187,0.288359177,0.457349895,0.272947643,0.247120098,0.149214579,19.22804947,80.58339903,5.394819554,29.63274887,0.014517076,2.130543579,2.671520948,0.043364495,2167.947987,757.5798647999999,2448.492583,408.2809149,22.39722749,6.43754555,0.013123773,0.017348163,4710.4893729999985,1549.851903,3.46076091,3.762550315,0.010598631,0.085331807,0.093003505,0.048554886
16,72809,1103.166667,1106.0,636.5046973999998,78.30255682,75.99954044,70803,1089.276923,0.378492812,0.287084275,0.447106154,0.274047688,0.242590214,0.156471471,15.35589897,70.02588199,5.570864749,33.29334369,0.010755408,1.924095102,2.57349062,0.152381077,1969.184526,616.5500051,2173.290256,460.2926466,21.77004832,6.330881527000001,0.012366877,0.01331438,4027.94281,1425.397807,3.475752147,3.726183419,0.010380565,0.085616519,0.089642575,0.03670131
