song_id,valence,arousal,label
706,0.6125,0.4,relax
931,0.5,0.4375,relax
918,0.6375,0.4,relax
1,0.575,0.4,relax
921,0.5625,0.475,relax
356,0.5625,0.475,relax
582,0.5,0.4125,relax
433,0.5,0.3625,relax
771,0.5625,0.425,relax
486,0.575,0.375,relax
897,0.5625,0.3875,relax
428,0.5625,0.4875,relax
310,0.675,0.4,relax
170,0.6,0.3,relax
578,0.625,0.4625,relax
119,0.6625,0.4875,relax
174,0.534090909,0.477272727,relax
869,0.5125,0.45,relax
358,0.6875,0.3875,relax
411,0.6375,0.175,relax
905,0.575,0.475,relax
299,0.65,0.25,relax
587,0.6,0.3875,relax
879,0.6375,0.4875,relax
40,0.6625,0.375,relax
810,0.65,0.4125,relax
953,0.55,0.3375,relax
715,0.525,0.325,relax
225,0.525,0.4125,relax
351,0.55,0.275,relax
548,0.55,0.45,relax
621,0.55,0.3625,relax
230,0.7375,0.3625,relax
609,0.5125,0.4375,relax
508,0.5375,0.3625,relax
325,0.6125,0.4875,relax
235,0.7,0.45,relax
148,0.5,0.4,relax
809,0.65,0.1875,relax
767,0.5125,0.475,relax
463,0.5625,0.3,relax
526,0.525,0.4625,relax
979,0.5125,0.3625,relax
35,0.625,0.3375,relax
461,0.6375,0.375,relax
683,0.7375,0.2375,relax
600,0.65,0.4125,relax
462,0.65,0.4125,relax
544,0.625,0.45,relax
280,0.525,0.325,relax
518,0.5125,0.425,relax
181,0.625,0.4875,relax
415,0.522727273,0.477272727,relax
28,0.575,0.4875,relax
354,0.5125,0.35,relax
763,0.55,0.3875,relax
151,0.6125,0.325,relax
517,0.425,0.2625,sad
56,0.275,0.4125,sad
801,0.2875,0.3375,sad
275,0.4125,0.3375,sad
429,0.4,0.225,sad
523,0.3375,0.3375,sad
807,0.3625,0.3375,sad
60,0.409090909,0.420454545,sad
926,0.4875,0.25,sad
775,0.475,0.3375,sad
530,0.340909091,0.295454545,sad
366,0.2875,0.2625,sad
47,0.4625,0.4,sad
5,0.2,0.15,sad
419,0.225,0.0875,sad
684,0.45,0.375,sad
815,0.3125,0.2875,sad
946,0.4,0.425,sad
784,0.35,0.45,sad
401,0.25,0.35,sad
364,0.4,0.375,sad
851,0.4125,0.4625,sad
438,0.325,0.3375,sad
906,0.4375,0.325,sad
750,0.2625,0.4,sad
913,0.275,0.35,sad
894,0.375,0.375,sad
541,0.35,0.275,sad
100,0.3,0.175,sad
916,0.3375,0.2125,sad
808,0.25,0.325,sad
531,0.3,0.225,sad
277,0.3875,0.2,sad
992,0.3625,0.4625,sad
267,0.35,0.275,sad
61,0.275,0.375,sad
398,0.4375,0.4375,sad
149,0.2625,0.3875,sad
634,0.2375,0.225,sad
592,0.4125,0.4125,sad
9,0.2875,0.45,sad
694,0.3375,0.3875,sad
789,0.125,0.35,sad
689,0.35,0.425,sad
595,0.4,0.3875,sad
550,0.375,0.4375,sad
10,0.425,0.4375,sad
370,0.25,0.4,sad
439,0.2625,0.225,sad
8,0.225,0.3875,sad
936,0.45,0.4125,sad
362,0.4625,0.4,sad
279,0.4625,0.3625,sad
244,0.4125,0.2875,sad
257,0.3125,0.4125,sad
252,0.3625,0.1375,sad
534,0.2875,0.1625,sad
779,0.4125,0.75,angry
911,0.3875,0.525,angry
676,0.475,0.55,angry
583,0.5,0.5125,angry
671,0.4125,0.675,angry
494,0.4625,0.8,angry
585,0.4625,0.525,angry
185,0.475,0.6625,angry
55,0.4,0.625,angry
564,0.475,0.9,angry
959,0.45,0.8,angry
677,0.3625,0.5625,angry
693,0.4,0.6,angry
31,0.4375,0.625,angry
672,0.4625,0.55,angry
524,0.275,0.5125,angry
966,0.45,0.575,angry
940,0.5,0.625,angry
135,0.4,0.7375,angry
57,0.3625,0.525,angry
780,0.4375,0.5125,angry
521,0.375,0.5125,angry
399,0.45,0.6125,angry
372,0.175,0.825,angry
491,0.4375,0.575,angry
532,0.3375,0.5375,angry
319,0.5,0.7375,angry
929,0.3375,0.6,angry
503,0.488636364,0.613636364,angry
213,0.3625,0.5625,angry
434,0.3875,0.5125,angry
52,0.4625,0.5875,angry
6,0.35,0.5125,angry
935,0.386363636,0.511363636,angry
757,0.375,0.6625,angry
857,0.2125,0.675,angry
393,0.4625,0.5375,angry
842,0.35,0.6,angry
769,0.475,0.525,angry
179,0.3125,0.7375,angry
594,0.4375,0.5125,angry
786,0.45,0.725,angry
540,0.3875,0.5125,angry
32,0.3875,0.575,angry
749,0.4875,0.525,angry
969,0.175,0.5125,angry
611,0.475,0.675,angry
222,0.35,0.6625,angry
228,0.425,0.55,angry
224,0.5,0.5875,angry
673,0.2,0.5125,angry
957,0.3375,0.525,angry
796,0.375,0.6,angry
445,0.4625,0.5875,angry
90,0.4875,0.65,angry
367,0.3125,0.6125,angry
522,0.4625,0.5375,angry
730,0.575,0.55,happy
629,0.5625,0.7125,happy
643,0.5875,0.55,happy
950,0.6875,0.7,happy
883,0.725,0.8625,happy
212,0.6,0.6625,happy
511,0.7375,0.6875,happy
180,0.6875,0.575,happy
561,0.8875,0.825,happy
93,0.65,0.6125,happy
203,0.6875,0.775,happy
765,0.7625,0.8,happy
573,0.7625,0.7625,happy
156,0.55,0.6625,happy
46,0.575,0.8375,happy
668,0.65,0.725,happy
318,0.825,0.725,happy
710,0.775,0.7875,happy
15,0.6625,0.6125,happy
699,0.775,0.7125,happy
207,0.7375,0.85,happy
967,0.5125,0.675,happy
168,0.625,0.7125,happy
472,0.6625,0.6125,happy
431,0.6375,0.525,happy
932,0.6625,0.7,happy
162,0.7375,0.875,happy
799,0.5375,0.7625,happy
788,0.525,0.6125,happy
18,0.8375,0.8,happy
457,0.7875,0.6625,happy
839,0.625,0.75,happy
704,0.7,0.625,happy
144,0.825,0.8625,happy
341,0.8,0.85,happy
776,0.5125,0.6375,happy
631,0.5625,0.55,happy
859,0.725,0.5875,happy
72,0.6875,0.75,happy
882,0.6,0.85,happy
305,0.75,0.9375,happy
900,0.5375,0.65,happy
648,0.7,0.6875,happy
1000,0.575,0.6625,happy
927,0.65,0.5625,happy
