song_id,valence,arousal,quadrant
1,0.575,0.4,relax
100,0.3,0.175,sad
114,0.7375,0.7375,happy
119,0.6625,0.4875,relax
12,0.575,0.6875,happy
123,0.4875,0.3125,sad
13,0.5875,0.825,happy
135,0.4,0.7375,angry
139,0.775,0.7125,happy
14,0.575,0.5625,happy
147,0.65,0.55,happy
148,0.5,0.4,relax
149,0.2625,0.3875,sad
151,0.6125,0.325,relax
158,0.7875,0.725,happy
160,0.8125,0.825,happy
170,0.6,0.3,relax
174,0.534090909,0.477272727,relax
179,0.3125,0.7375,angry
181,0.625,0.4875,relax
185,0.475,0.6625,angry
188,0.4,0.3125,sad
19,0.75,0.7625,happy
213,0.3625,0.5625,angry
222,0.35,0.6625,angry
224,0.5,0.5875,angry
225,0.525,0.4125,relax
228,0.425,0.55,angry
229,0.4,0.45,sad
230,0.7375,0.3625,relax
234,0.4375,0.3875,sad
235,0.7,0.45,relax
242,0.6125,0.625,happy
244,0.4125,0.2875,sad
251,0.465909091,0.43181818200000005,sad
252,0.3625,0.1375,sad
258,0.475,0.675,angry
260,0.3,0.4625,sad
263,0.35,0.4125,sad
273,0.3625,0.3375,sad
276,0.5125,0.65,happy
279,0.4625,0.3625,sad
28,0.575,0.4875,relax
280,0.525,0.325,relax
29,0.675,0.7,happy
298,0.7375,0.725,happy
299,0.65,0.25,relax
301,0.7875,0.825,happy
310,0.675,0.4,relax
318,0.825,0.725,happy
319,0.5,0.7375,angry
321,0.4875,0.6875,angry
325,0.6125,0.4875,relax
347,0.3375,0.1875,sad
348,0.3,0.4625,sad
349,0.3375,0.275,sad
35,0.625,0.3375,relax
350,0.375,0.2625,sad
351,0.55,0.275,relax
354,0.5125,0.35,relax
356,0.5625,0.475,relax
358,0.6875,0.3875,relax
367,0.3125,0.6125,angry
38,0.8375,0.8875,happy
383,0.4125,0.5,sad
393,0.4625,0.5375,angry
394,0.675,0.75,happy
398,0.4375,0.4375,sad
399,0.45,0.6125,angry
4,0.2875,0.2625,sad
40,0.6625,0.375,relax
408,0.6125,0.9125,happy
411,0.6375,0.175,relax
412,0.4375,0.5,sad
415,0.522727273,0.477272727,relax
418,0.375,0.425,sad
419,0.225,0.0875,sad
425,0.8125,0.95,happy
428,0.5625,0.4875,relax
431,0.6375,0.525,happy
432,0.4,0.375,sad
433,0.5,0.3625,relax
434,0.3875,0.5125,angry
436,0.35,0.25,sad
437,0.375,0.1875,sad
439,0.2625,0.225,sad
445,0.4625,0.5875,angry
449,0.7375,0.7,happy
450,0.7625,0.75,happy
461,0.6375,0.375,relax
462,0.65,0.4125,relax
463,0.5625,0.3,relax
470,0.85,0.7625,happy
486,0.575,0.375,relax
489,0.795454545,0.9090909090000001,happy
490,0.6875,0.825,happy
491,0.4375,0.575,angry
494,0.4625,0.8,angry
495,0.475,0.8375,angry
5,0.2,0.15,sad
500,0.425,0.7,angry
503,0.488636364,0.613636364,angry
504,0.675,0.675,happy
508,0.5375,0.3625,relax
516,0.4625,0.4,sad
517,0.425,0.2625,sad
518,0.5125,0.425,relax
52,0.4625,0.5875,angry
521,0.375,0.5125,angry
522,0.4625,0.5375,angry
523,0.3375,0.3375,sad
524,0.275,0.5125,angry
525,0.275,0.2375,sad
526,0.525,0.4625,relax
532,0.3375,0.5375,angry
534,0.2875,0.1625,sad
541,0.35,0.275,sad
544,0.625,0.45,relax
548,0.55,0.45,relax
549,0.3125,0.4375,sad
55,0.4,0.625,angry
551,0.375,0.2875,sad
558,0.5125,0.55,happy
56,0.275,0.4125,sad
563,0.6875,0.7375,happy
572,0.525,0.7375,happy
578,0.625,0.4625,relax
58,0.25,0.2625,sad
582,0.5,0.4125,relax
583,0.5,0.5125,angry
585,0.4625,0.525,angry
587,0.6,0.3875,relax
589,0.4875,0.55,angry
