song_id,valence,arousal,quadrant
1,0.575,0.4,relax
10,0.425,0.4375,sad
100,0.3,0.175,sad
1000,0.575,0.6625,happy
102,0.825,0.7375,happy
103,0.775,0.5875,happy
104,0.825,0.8375,happy
105,0.3875,0.275,sad
106,0.675,0.7,happy
107,0.6125,0.6,happy
108,0.8625,0.8625,happy
109,0.7875,0.8,happy
113,0.7125,0.75,happy
114,0.7375,0.7375,happy
115,0.8,0.8,happy
116,0.7625,0.9,happy
117,0.7,0.85,happy
119,0.6625,0.4875,relax
12,0.575,0.6875,happy
120,0.7625,0.7625,happy
123,0.4875,0.3125,sad
124,0.8375,0.9,happy
126,0.7,0.7,happy
127,0.825,0.8125,happy
128,0.6,0.5125,happy
13,0.5875,0.825,happy
132,0.7125,0.85,happy
133,0.7375,0.775,happy
134,0.7125,0.8,happy
135,0.4,0.7375,angry
136,0.525,0.625,happy
137,0.7,0.7625,happy
138,0.5875,0.6625,happy
139,0.775,0.7125,happy
14,0.575,0.5625,happy
140,0.65,0.5625,happy
141,0.65,0.5375,happy
142,0.625,0.6,happy
143,0.625,0.5625,happy
144,0.825,0.8625,happy
145,0.75,0.7625,happy
146,0.7375,0.6625,happy
147,0.65,0.55,happy
148,0.5,0.4,relax
149,0.2625,0.3875,sad
15,0.6625,0.6125,happy
150,0.725,0.7375,happy
151,0.6125,0.325,relax
152,0.725,0.825,happy
153,0.65,0.675,happy
156,0.55,0.6625,happy
157,0.681818182,0.534090909,happy
158,0.7875,0.725,happy
159,0.675,0.875,happy
16,0.575,0.5375,happy
160,0.8125,0.825,happy
161,0.7125,0.8625,happy
162,0.7375,0.875,happy
165,0.675,0.7375,happy
166,0.575,0.625,happy
167,0.775,0.8875,happy
168,0.625,0.7125,happy
169,0.6,0.675,happy
17,0.675,0.825,happy
170,0.6,0.3,relax
171,0.8125,0.85,happy
172,0.625,0.6375,happy
174,0.534090909,0.477272727,relax
175,0.45,0.475,sad
176,0.65,0.7125,happy
177,0.5375,0.55,happy
179,0.3125,0.7375,angry
18,0.8375,0.8,happy
180,0.6875,0.575,happy
181,0.625,0.4875,relax
184,0.6375,0.825,happy
185,0.475,0.6625,angry
186,0.7125,0.825,happy
187,0.675,0.7,happy
188,0.4,0.3125,sad
189,0.6375,0.6875,happy
19,0.75,0.7625,happy
191,0.825,0.7625,happy
192,0.5375,0.9375,happy
196,0.3625,0.4375,sad
197,0.4375,0.3375,sad
198,0.75,0.8636363640000001,happy
199,0.6875,0.7875,happy
20,0.6375,0.55,happy
200,0.5625,0.7,happy
201,0.6875,0.625,happy
202,0.7625,0.85,happy
203,0.6875,0.775,happy
204,0.5875,0.7375,happy
207,0.7375,0.85,happy
209,0.775,0.6875,happy
21,0.775,0.8625,happy
210,0.725,0.8125,happy
211,0.65,0.65,happy
212,0.6,0.6625,happy
213,0.3625,0.5625,angry
215,0.5125,0.525,happy
216,0.6625,0.65,happy
217,0.575,0.6125,happy
219,0.75,0.8375,happy
220,0.675,0.6875,happy
221,0.7,0.8125,happy
222,0.35,0.6625,angry
224,0.5,0.5875,angry
225,0.525,0.4125,relax
227,0.425,0.475,sad
228,0.425,0.55,angry
229,0.4,0.45,sad
23,0.675,0.625,happy
230,0.7375,0.3625,relax
231,0.55,0.5375,happy
232,0.475,0.4125,sad
233,0.4875,0.4,sad
234,0.4375,0.3875,sad
235,0.7,0.45,relax
236,0.3,0.3125,sad
237,0.3125,0.525,angry
238,0.5625,0.6375,happy
239,0.6875,0.625,happy
241,0.5625,0.525,happy
242,0.6125,0.625,happy
244,0.4125,0.2875,sad
249,0.45,0.5375,angry
25,0.7840909090000001,0.7613636359999999,happy
251,0.465909091,0.43181818200000005,sad
