song_id,artist,track,genre,sub_artist_genre
1,2 Chainz+Gucci Mane+Quavo,Good Drank (Explicit),hip-hop/rap,
4,21 Savage+Metro Boomin+Future,X Bitch (feat. Future),hip-hop/rap,
5,21 Savage+Metro Boomin,No Heart,hip-hop/rap,
6,21 Savage,Red Opps (Explicit),hip-hop/rap,
7,5 Seconds Of Summer,Girls Talk Boys,pop,
8,6LACK,PRBLMS,hip-hop/rap,
9,A Boogie Wit Da Hoodie+Dj SpinKing,Timeless (Explicit),hip-hop/rap,
10,A Boogie Wit Da Hoodie+Kodak Black,Drowning (Explicit),hip-hop/rap,
12,A Tribe Called Quest,We The People....,hip-hop/rap,
13,AJR,Weak,rock,pop
14,Adam Wakefield,I'm Sorry (Live),country,pop
15,Adam Wakefield,Lonesome Broken and Blue (Live),country,pop
16,Adam Wakefield,When I Call Your Name (Live),country,pop
17,Adele,Hello,pop,soul/rnb
18,Adele,Send My Love (To Your New Lover),pop,soul/rnb
19,Adele,Water Under The Bridge,pop,soul/rnb
20,Al Jarreau,We're In This Love Together,rock,jazz
21,Alan Walker+Iselin Solheim,Faded,electronic,
23,Alessia Cara,How Far I'll Go(Alessia Cara Version),pop,
25,Alessia Cara,Scars To Your Beautiful,pop,
26,Alessia Cara,Wild Things (NuKid Remix),pop,
28,Alex Da Kid,Not Easy,soul/rnb,pop
29,Alisan Porter,Down That Road (Live),country,pop
30,Alisan Porter,Somewhere (Live),country,pop
31,Aminé,Caroline (Explicit),hip-hop/rap,
32,Andra Day,Rise Up,soul/rnb,
33,Andy Grammer,Fresh Eyes,pop,
34,Andy Williams,It's the Most Wonderful Time of the Year,pop,
35,Anna Kendrick+Justin Timberlake,True Colors,pop,
37,Anne-Marie,Marie-Alarm,pop,
38,Anne-Marie,Marie-Ciao Adios,pop,
39,Ansel Elgort,Thief,pop,
40,Ariana Grande+John Legend,Beauty and the Beast,pop,
42,Ariana Grande,Dangerous Woman,pop,
43,Ariana Grande,One Last Time,pop,
44,Artists Of Then+Now & Forever,Forever Country,country,
