song_id,valence,arousal,label
879,0.6375,0.4875,relax
35,0.625,0.3375,relax
921,0.5625,0.475,relax
280,0.525,0.325,relax
518,0.5125,0.425,relax
181,0.625,0.4875,relax
918,0.6375,0.4,relax
225,0.525,0.4125,relax
40,0.6625,0.375,relax
411,0.6375,0.175,relax
230,0.7375,0.3625,relax
587,0.6,0.3875,relax
351,0.55,0.275,relax
905,0.575,0.475,relax
683,0.7375,0.2375,relax
548,0.55,0.45,relax
1,0.575,0.4,relax
767,0.5125,0.475,relax
486,0.575,0.375,relax
715,0.525,0.325,relax
809,0.65,0.1875,relax
462,0.65,0.4125,relax
325,0.6125,0.4875,relax
600,0.65,0.4125,relax
771,0.5625,0.425,relax
979,0.5125,0.3625,relax
508,0.5375,0.3625,relax
544,0.625,0.45,relax
461,0.6375,0.375,relax
299,0.65,0.25,relax
151,0.6125,0.325,relax
897,0.5625,0.3875,relax
463,0.5625,0.3,relax
869,0.5125,0.45,relax
415,0.522727273,0.477272727,relax
810,0.65,0.4125,relax
28,0.575,0.4875,relax
358,0.6875,0.3875,relax
354,0.5125,0.35,relax
763,0.55,0.3875,relax
170,0.6,0.3,relax
428,0.5625,0.4875,relax
578,0.625,0.4625,relax
609,0.5125,0.4375,relax
356,0.5625,0.475,relax
310,0.675,0.4,relax
119,0.6625,0.4875,relax
621,0.55,0.3625,relax
174,0.534090909,0.477272727,relax
953,0.55,0.3375,relax
706,0.6125,0.4,relax
235,0.7,0.45,relax
526,0.525,0.4625,relax
864,0.409090909,0.488636364,sad
347,0.3375,0.1875,sad
123,0.4875,0.3125,sad
885,0.4875,0.425,sad
591,0.35,0.25,sad
260,0.3,0.4625,sad
775,0.475,0.3375,sad
516,0.4625,0.4,sad
446,0.4875,0.425,sad
705,0.4375,0.1875,sad
694,0.3375,0.3875,sad
659,0.375,0.3875,sad
56,0.275,0.4125,sad
913,0.275,0.35,sad
63,0.4625,0.375,sad
946,0.4,0.425,sad
252,0.3625,0.1375,sad
401,0.25,0.35,sad
60,0.409090909,0.420454545,sad
992,0.3625,0.4625,sad
257,0.3125,0.4125,sad
894,0.375,0.375,sad
948,0.4,0.4875,sad
267,0.35,0.275,sad
412,0.4375,0.5,sad
931,0.5,0.4375,sad
656,0.4125,0.4875,sad
61,0.275,0.375,sad
506,0.375,0.275,sad
366,0.2875,0.2625,sad
550,0.375,0.4375,sad
100,0.3,0.175,sad
277,0.3875,0.2,sad
783,0.45,0.475,sad
197,0.4375,0.3375,sad
435,0.35,0.275,sad
968,0.4,0.4875,sad
523,0.3375,0.3375,sad
851,0.4125,0.4625,sad
383,0.4125,0.5,sad
309,0.3875,0.35,sad
349,0.3375,0.275,sad
934,0.3875,0.4875,sad
612,0.375,0.4625,sad
5,0.2,0.15,sad
9,0.2875,0.45,sad
348,0.3,0.4625,sad
926,0.4875,0.25,sad
398,0.4375,0.4375,sad
750,0.2625,0.4,sad
273,0.3625,0.3375,sad
8,0.225,0.3875,sad
419,0.225,0.0875,sad
393,0.4625,0.5375,angry
970,0.4875,0.7,angry
983,0.5,0.775,angry
594,0.4375,0.5125,angry
777,0.475,0.525,angry
673,0.2,0.5125,angry
677,0.3625,0.5625,angry
952,0.4875,0.525,angry
672,0.4625,0.55,angry
676,0.475,0.55,angry
911,0.3875,0.525,angry
583,0.5,0.5125,angry
693,0.4,0.6,angry
445,0.4625,0.5875,angry
796,0.375,0.6,angry
780,0.4375,0.5125,angry
520,0.15,0.6625,angry
962,0.2,0.6375,angry
319,0.5,0.7375,angry
228,0.425,0.55,angry
135,0.4,0.7375,angry
935,0.386363636,0.511363636,angry
969,0.175,0.5125,angry
769,0.475,0.525,angry
540,0.3875,0.5125,angry
6,0.35,0.5125,angry
727,0.475,0.55,angry
500,0.425,0.7,angry
522,0.4625,0.5375,angry
495,0.475,0.8375,angry
399,0.45,0.6125,angry
179,0.3125,0.7375,angry
524,0.275,0.5125,angry
729,0.4,0.525,angry
224,0.5,0.5875,angry
957,0.3375,0.525,angry
989,0.3125,0.575,angry
31,0.4375,0.625,angry
185,0.475,0.6625,angry
929,0.3375,0.6,angry
