song_id,valence,arousal,label
921,0.5625,0.475,relax
310,0.675,0.4,relax
225,0.525,0.4125,relax
897,0.5625,0.3875,relax
235,0.7,0.45,relax
151,0.6125,0.325,relax
40,0.6625,0.375,relax
170,0.6,0.3,relax
181,0.625,0.4875,relax
953,0.55,0.3375,relax
621,0.55,0.3625,relax
28,0.575,0.4875,relax
810,0.65,0.4125,relax
979,0.5125,0.3625,relax
869,0.5125,0.45,relax
280,0.525,0.325,relax
518,0.5125,0.425,relax
706,0.6125,0.4,relax
508,0.5375,0.3625,relax
119,0.6625,0.4875,relax
578,0.625,0.4625,relax
905,0.575,0.475,relax
356,0.5625,0.475,relax
415,0.522727273,0.477272727,relax
486,0.575,0.375,relax
526,0.525,0.4625,relax
544,0.625,0.45,relax
351,0.55,0.275,relax
918,0.6375,0.4,relax
299,0.65,0.25,relax
35,0.625,0.3375,relax
771,0.5625,0.425,relax
809,0.65,0.1875,relax
354,0.5125,0.35,relax
174,0.534090909,0.477272727,relax
600,0.65,0.4125,relax
462,0.65,0.4125,relax
715,0.525,0.325,relax
763,0.55,0.3875,relax
879,0.6375,0.4875,relax
230,0.7375,0.3625,relax
461,0.6375,0.375,relax
683,0.7375,0.2375,relax
463,0.5625,0.3,relax
411,0.6375,0.175,relax
609,0.5125,0.4375,relax
587,0.6,0.3875,relax
358,0.6875,0.3875,relax
428,0.5625,0.4875,relax
1,0.575,0.4,relax
325,0.6125,0.4875,relax
548,0.55,0.45,relax
767,0.5125,0.475,relax
401,0.25,0.35,sad
47,0.4625,0.4,sad
506,0.375,0.275,sad
63,0.4625,0.375,sad
591,0.35,0.25,sad
582,0.5,0.4125,sad
916,0.3375,0.2125,sad
851,0.4125,0.4625,sad
656,0.4125,0.4875,sad
364,0.4,0.375,sad
105,0.3875,0.275,sad
775,0.475,0.3375,sad
523,0.3375,0.3375,sad
694,0.3375,0.3875,sad
348,0.3,0.4625,sad
10,0.425,0.4375,sad
948,0.4,0.4875,sad
397,0.3375,0.45,sad
370,0.25,0.4,sad
439,0.2625,0.225,sad
531,0.3,0.225,sad
675,0.3,0.3125,sad
233,0.4875,0.4,sad
906,0.4375,0.325,sad
541,0.35,0.275,sad
807,0.3625,0.3375,sad
816,0.425,0.3,sad
446,0.4875,0.425,sad
4,0.2875,0.2625,sad
232,0.475,0.4125,sad
56,0.275,0.4125,sad
512,0.425,0.3125,sad
350,0.375,0.2625,sad
419,0.225,0.0875,sad
992,0.3625,0.4625,sad
