,labels,pred_valence,pred_arousal,pred_quadrant
1,angry,0.4643495923325976,0.5964313308641485,angry
2,angry,0.7695212146805879,0.7403069137537044,happy
3,angry,0.6121631385470436,0.5873362666026997,happy
4,angry,0.6489203504122085,0.6011701078323247,happy
5,angry,0.7129020487379742,0.6158279756107763,happy
6,angry,0.6135351432649202,0.6778442640900513,happy
7,angry,0.3751428462590334,0.4110362195497915,sad
8,angry,0.6533841958249572,0.6066512655293461,happy
9,angry,0.6692812759431166,0.6469844765982544,happy
10,angry,0.7552665573576808,0.7898460401231072,happy
11,angry,0.5917419344169778,0.5653981351115375,happy
12,angry,0.5035967566090316,0.5541720338234579,happy
13,angry,0.6972692550186447,0.658939596806907,happy
14,angry,0.6357193734865381,0.6259452901232403,happy
15,angry,0.7319510107460695,0.7466445316217923,happy
16,angry,0.6644735222687601,0.6874754897408712,happy
17,angry,0.6006484362972588,0.5061135948793155,happy
18,angry,0.7318172419984069,0.6910771269438147,happy
19,angry,0.6940499238598521,0.5651620592244618,happy
20,angry,0.6496922709794726,0.7177378089698598,happy
21,angry,0.4912366610064939,0.5068185060449139,angry
22,angry,0.50302388877731,0.5446723577277084,happy
23,angry,0.6013457869294927,0.517589436530063,happy
24,angry,0.3731274479412621,0.36655687562233163,sad
25,angry,0.5800068522441076,0.5736449925748782,happy
26,angry,0.6880474461310617,0.7366350463995784,happy
27,angry,0.6100722572482695,0.4839303044242129,relax
28,angry,0.7357630523050129,0.8278016806627908,happy
29,angry,0.6168303629619167,0.50033196260361,happy
30,angry,0.712185958336396,0.8125751169329629,happy
31,angry,0.45034593881535706,0.4733246787937615,sad
33,angry,0.6143672316258486,0.6384857161787527,happy
34,angry,0.5952770187293337,0.5496283878949584,happy
35,angry,0.5780097596028592,0.5685492402941085,happy
36,angry,0.5810473112003197,0.5899201786022543,happy
37,angry,0.6596052396474801,0.6654774669954256,happy
38,angry,0.5957306616602084,0.5824462555359227,happy
39,angry,0.6753430491951684,0.7067586803527921,happy
40,angry,0.669985534993746,0.5430561129279387,happy
41,angry,0.7227142662123924,0.7912330204798765,happy
42,angry,0.6175308549159774,0.5377014878314312,happy
43,angry,0.6913735303110118,0.7247377493074628,happy
44,angry,0.7417392217248964,0.7001841032938261,happy
45,angry,0.6868123996081829,0.5858006347671606,happy
46,angry,0.7037724227110969,0.6882450430645156,happy
47,angry,0.5806545437162584,0.6486585064209991,happy
48,angry,0.6482280392280805,0.7180153309020929,happy
49,angry,0.7511657172950567,0.580606596848512,happy
50,angry,0.70448952450097,0.7776544853124185,happy
51,angry,0.6398878641519476,0.6215116208962759,happy
52,angry,0.6973105178264671,0.6740593408740946,happy
53,angry,0.6514456884421626,0.5431035485085706,happy
54,angry,0.511258138132334,0.560138223832341,happy
55,angry,0.6491604281045322,0.5772540916496912,happy
56,angry,0.5979813738346754,0.5654392113403991,happy
57,angry,0.6112887415525737,0.5987595648822093,happy
58,angry,0.6873931794035101,0.6964162054381439,happy
59,angry,0.5959586893288382,0.623844170517136,happy
60,angry,0.5112931353731978,0.4395542137605241,relax
61,angry,0.6523798851362794,0.6522535016917383,happy
62,angry,0.6271625573012732,0.6173535589423583,happy
63,angry,0.6706749076875341,0.6117995131170121,happy
64,angry,0.670510000424072,0.6800267165374965,happy
65,angry,0.5710130393126484,0.5788952137772471,happy
66,angry,0.5810580565800494,0.5013201377504933,happy
67,angry,0.49937982555433175,0.403451550586992,sad
68,angry,0.46067217038650865,0.480627765994401,sad
69,angry,0.6286924912628081,0.6252729796378049,happy
70,angry,0.48871255714954237,0.3736893252621837,sad
71,angry,0.7974205536424401,0.6881215936577089,happy
72,angry,0.720131846489309,0.647885305043828,happy
73,angry,0.526882873053675,0.40940994500007133,relax
74,angry,0.6725815133972848,0.7010592687295707,happy
75,angry,0.6742639066231839,0.6462103661612896,happy
76,angry,0.6480871674355521,0.6723733533184626,happy
77,angry,0.7716048446448808,0.788405432919862,happy
78,angry,0.6798394746267098,0.5479476210804871,happy
79,angry,0.6399261188595801,0.7052257431420266,happy
80,angry,0.7244615509818118,0.7210287489932511,happy
81,angry,0.6845039336309074,0.6903446343529258,happy
82,angry,0.5916008763124148,0.508074360699708,happy
83,angry,0.61570339762192,0.594628550682032,happy
84,angry,0.6178464305130604,0.5808658263915798,happy
85,angry,0.6453155310369408,0.5160789593725301,happy
86,angry,0.7177336557379717,0.7059254192840811,happy
87,angry,0.6470486553457588,0.59277851923362,happy
88,angry,0.5327207220927535,0.480466945283315,relax
89,angry,0.529802700348508,0.5139622061534878,happy
90,angry,0.7526812994436345,0.692941712152712,happy
91,angry,0.3689762855692137,0.4072632265473218,sad
92,angry,0.5013801171589303,0.5408423095141763,happy
93,angry,0.5825539989317354,0.5616729430174819,happy
94,angry,0.5249957690633051,0.5283811811549799,happy
95,angry,0.5577133233791891,0.511598006584999,happy
96,angry,0.6129700353263466,0.557900048318478,happy
97,angry,0.521115197549846,0.6597071116628205,happy
98,angry,0.7392359002285647,0.7664673872968366,happy
99,angry,0.5349154425595091,0.5907911022258773,happy
100,angry,0.6870371729180039,0.7782889042029648,happy
101,angry,0.6852899572687936,0.7208819047492084,happy
102,angry,0.6441846582145403,0.6299981440508623,happy
103,angry,0.6549635272549622,0.5932678530946264,happy
104,angry,0.7559432841761202,0.7767678852202593,happy
105,angry,0.5833529752440558,0.5705294186160318,happy
106,angry,0.637461257143453,0.6202336059262642,happy
107,angry,0.6748716041969864,0.602677482796933,happy
108,angry,0.7436955736354259,0.7563914698134986,happy
109,angry,0.6172981166752758,0.40409369625166425,relax
110,angry,0.6138489736659172,0.6065108905419333,happy
111,angry,0.6956255393202074,0.7015927207164419,happy
112,angry,0.6091744085198845,0.6537748804433514,happy
113,angry,0.6492560118894348,0.6702505201016034,happy
114,angry,0.5840202229637421,0.49772959790656857,relax
115,angry,0.6212015415322825,0.6593963252158195,happy
116,angry,0.5790848889976223,0.5211883015854617,happy
117,angry,0.5745949770607539,0.5027211938719985,happy
118,angry,0.6639951987319564,0.7079718373431835,happy
119,angry,0.5534550401617904,0.47350872158399704,relax
120,angry,0.627230794487141,0.5353515115162503,happy
121,angry,0.6577500098943985,0.5989050424808613,happy
122,angry,0.6098778738519758,0.5818978687626335,happy
123,angry,0.7217148215010745,0.5706460883846379,happy
124,angry,0.649184392835797,0.589510086578171,happy
125,angry,0.5212455746242884,0.45199108484841033,relax
126,angry,0.7093318397081841,0.708917205525345,happy
127,angry,0.6350842413478434,0.5256329664788273,happy
128,angry,0.5890607676412661,0.46704837838163543,relax
129,angry,0.45507475543089976,0.44508138315410706,sad
130,angry,0.730255052280981,0.7187060432048713,happy
131,angry,0.46860310785254555,0.49102660471383847,sad
132,angry,0.6172296499548555,0.6035027688989717,happy
133,angry,0.6857462874769098,0.7241291398739351,happy
134,angry,0.6851294705449127,0.6101606681974487,happy
135,angry,0.4861833053661859,0.4351958147960756,sad
136,angry,0.5766700116525918,0.5547176162548785,happy
137,angry,0.5378190428703614,0.6067445424746668,happy
138,angry,0.6523641224502005,0.7201095174100959,happy
139,angry,0.6615973801960782,0.5415480693265439,happy
140,angry,0.6568134271268044,0.7094190597422668,happy
141,angry,0.6131953319855415,0.6350759788954856,happy
142,angry,0.5303494965775486,0.527226333086458,happy
143,angry,0.6449628964414669,0.5219715955458714,happy
144,angry,0.7041804525663771,0.7241104557589306,happy
145,angry,0.6941105811433943,0.7011785517793048,happy
146,angry,0.7475276933504013,0.7776914273087301,happy
147,angry,0.6902689117559598,0.7414966004697174,happy
148,angry,0.6245629477766934,0.5226356702824398,happy
149,angry,0.6504267539457083,0.5753480257702664,happy
