dimension,dataset,extraction,scaling,pca_comp,whiten,model,metric,score,std,date
valence,pmemo,librosa,minmax,1,True,Dummy,rmse,0.162,0.012,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,Dummy,r2,-0.05,0.063,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,Lasso,rmse,0.162,0.012,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,Lasso,r2,-0.05,0.063,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,ElaNet,rmse,0.162,0.012,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,ElaNet,r2,-0.05,0.063,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,Ridge,rmse,0.131,0.011,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,Ridge,r2,0.3,0.163,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,kNN,rmse,0.138,0.012,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,kNN,r2,0.22,0.172,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRrbf,rmse,0.13,0.011,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRrbf,r2,0.31,0.159,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRpol,rmse,0.131,0.011,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRpol,r2,0.3,0.163,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRlin,rmse,0.131,0.011,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,SVRlin,r2,0.3,0.163,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,DecTre,rmse,0.138,0.013,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,DecTre,r2,0.23,0.152,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,RanFor,rmse,0.132,0.009,2019-12-20_14-16-46
valence,pmemo,librosa,minmax,1,True,RanFor,r2,0.29,0.147,2019-12-20_14-16-46
arousal,pmemo,librosa,minmax,1,True,Dummy,rmse,0.183,0.02,2019-12-20_14-16-46
arousal,pmemo,librosa,minmax,1,True,Dummy,r2,-0.03,0.029,2019-12-20_14-16-46
arousal,pmemo,librosa,minmax,1,True,Lasso,rmse,0.183,0.02,2019-12-20_14-16-46
arousal,pmemo,librosa,minmax,1,True,Lasso,r2,-0.03,0.029,2019-12-20_14-16-46
arousal,pmemo,librosa,minmax,1,True,ElaNet,rmse,0.183,0.02,2019-12-20_14-16-46
