Dimension,Dataset,Extraction,Scaling,PCA_comp,Whiten,Model,Metric,Score,Std,Date
valence,pmemo_hz,opensmile,standard,N/A,N/A,Lasso,rmse,0.162,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,ElaNet,rmse,0.162,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,Ridge,rmse,0.163,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,kNN,rmse,0.135,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,SVRrbf,rmse,0.121,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,SVRpol,rmse,0.225,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,SVRlin,rmse,0.122,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,DecTre,rmse,0.141,,2019-06-26_00:00:00
valence,pmemo_hz,opensmile,standard,N/A,N/A,RanFor,rmse,0.14,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,Lasso,rmse,0.184,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,ElaNet,rmse,0.184,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,Ridge,rmse,0.14,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,kNN,rmse,0.136,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,SVRrbf,rmse,0.119,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,SVRpol,rmse,0.227,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,SVRlin,rmse,0.11,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,DecTre,rmse,0.129,,2019-06-26_00:00:00
arousal,pmemo_hz,opensmile,standard,N/A,N/A,RanFor,rmse,0.154,,2019-06-26_00:00:00
valence,pmemo_o,opensmile,standard,N/A,N/A,Dummy,rmse,0.162,0.012,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,Dummy,r2,-0.05,0.079,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,Lasso,rmse,0.162,0.012,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,Lasso,r2,-0.05,0.079,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,ElaNet,rmse,0.162,0.012,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,ElaNet,r2,-0.05,0.079,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,Ridge,rmse,0.162,0.05,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,Ridge,r2,-0.2,0.952,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,kNN,rmse,0.135,0.009,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,kNN,r2,0.27,0.093,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRrbf,rmse,0.121,0.009,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRrbf,r2,0.41,0.058,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRpol,rmse,0.25,0.309,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRpol,r2,-5.01,15.162,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRlin,rmse,0.121,0.014,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,SVRlin,r2,0.39,0.205,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,DecTre,rmse,0.139,0.016,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,DecTre,r2,0.22,0.156,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,RanFor,rmse,0.139,0.011,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,N/A,N/A,RanFor,r2,0.23,0.084,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Dummy,rmse,0.184,0.017,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Dummy,r2,-0.04,0.034,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Lasso,rmse,0.184,0.017,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Lasso,r2,-0.04,0.034,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,ElaNet,rmse,0.184,0.017,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,ElaNet,r2,-0.04,0.034,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Ridge,rmse,0.136,0.034,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,Ridge,r2,0.38,0.376,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,kNN,rmse,0.135,0.012,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,kNN,r2,0.43,0.1,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRrbf,rmse,0.118,0.009,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRrbf,r2,0.57,0.054,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRpol,rmse,0.227,0.27,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRpol,r2,-2.86,9.821,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRlin,rmse,0.107,0.016,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,SVRlin,r2,0.63,0.141,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,DecTre,rmse,0.133,0.013,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,DecTre,r2,0.44,0.167,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,RanFor,rmse,0.155,0.015,2019-12-21_15-19-41
arousal,pmemo_o,opensmile,standard,N/A,N/A,RanFor,r2,0.26,0.061,2019-12-21_15-19-41
valence,pmemo_o,opensmile,standard,787,False,Dummy,rmse,0.162,0.012,2019-12-20_14-16-46
valence,pmemo_o,opensmile,standard,787,False,Dummy,r2,-0.05,0.079,2019-12-20_14-16-46
valence,pmemo_o,opensmile,standard,787,False,Lasso,rmse,0.142,0.011,2019-12-20_14-16-46
valence,pmemo_o,opensmile,standard,787,False,Lasso,r2,0.19,0.087,2019-12-20_14-16-46
valence,pmemo_o,opensmile,standard,787,False,ElaNet,rmse,0.129,0.011,2019-12-20_14-16-46
