dataset,extraction,scaling,exp_var,pca_comp,date
pmemo,librosa,standard,1,None,2019-12-20_14-16-46
pmemo,librosa,standard,0.17,1,2019-12-20_14-16-46
pmemo,librosa,standard,0.27,2,2019-12-20_14-16-46
pmemo,librosa,standard,0.32,3,2019-12-20_14-16-46
pmemo,librosa,standard,0.36,4,2019-12-20_14-16-46
pmemo,librosa,standard,0.4,5,2019-12-20_14-16-46
pmemo,librosa,standard,0.43,6,2019-12-20_14-16-46
pmemo,librosa,standard,0.46,7,2019-12-20_14-16-46
pmemo,librosa,standard,0.48,8,2019-12-20_14-16-46
pmemo,librosa,standard,0.5,9,2019-12-20_14-16-46
pmemo,librosa,standard,0.52,10,2019-12-20_14-16-46
pmemo,librosa,standard,0.54,11,2019-12-20_14-16-46
pmemo,librosa,standard,0.55,12,2019-12-20_14-16-46
pmemo,librosa,standard,0.57,13,2019-12-20_14-16-46
pmemo,librosa,standard,0.58,14,2019-12-20_14-16-46
pmemo,librosa,standard,0.59,15,2019-12-20_14-16-46
pmemo,librosa,standard,0.61,16,2019-12-20_14-16-46
pmemo,librosa,standard,0.62,17,2019-12-20_14-16-46
pmemo,librosa,standard,0.63,18,2019-12-20_14-16-46
pmemo,librosa,standard,0.64,19,2019-12-20_14-16-46
pmemo,librosa,standard,0.65,20,2019-12-20_14-16-46
pmemo,librosa,standard,0.66,21,2019-12-20_14-16-46
pmemo,librosa,standard,0.67,22,2019-12-20_14-16-46
pmemo,librosa,standard,0.68,23,2019-12-20_14-16-46
pmemo,librosa,standard,0.69,24,2019-12-20_14-16-46
pmemo,librosa,standard,0.69,25,2019-12-20_14-16-46
pmemo,librosa,standard,0.7,26,2019-12-20_14-16-46
pmemo,librosa,standard,0.71,27,2019-12-20_14-16-46
pmemo,librosa,standard,0.71,28,2019-12-20_14-16-46
pmemo,librosa,standard,0.72,29,2019-12-20_14-16-46
pmemo,librosa,standard,0.73,30,2019-12-20_14-16-46
pmemo,librosa,standard,0.73,31,2019-12-20_14-16-46
pmemo,librosa,standard,0.74,32,2019-12-20_14-16-46
pmemo,librosa,standard,0.74,33,2019-12-20_14-16-46
pmemo,librosa,standard,0.75,34,2019-12-20_14-16-46
pmemo,librosa,standard,0.75,35,2019-12-20_14-16-46
pmemo,librosa,standard,0.76,36,2019-12-20_14-16-46
pmemo,librosa,standard,0.76,37,2019-12-20_14-16-46
pmemo,librosa,standard,0.77,38,2019-12-20_14-16-46
pmemo,librosa,standard,0.77,39,2019-12-20_14-16-46
pmemo,librosa,standard,0.77,40,2019-12-20_14-16-46
pmemo,librosa,standard,0.78,41,2019-12-20_14-16-46
pmemo,librosa,standard,0.78,42,2019-12-20_14-16-46
pmemo,librosa,standard,0.79,43,2019-12-20_14-16-46
pmemo,librosa,standard,0.79,44,2019-12-20_14-16-46
pmemo,librosa,standard,0.79,45,2019-12-20_14-16-46
pmemo,librosa,standard,0.8,46,2019-12-20_14-16-46
pmemo,librosa,standard,0.8,47,2019-12-20_14-16-46
pmemo,librosa,standard,0.8,48,2019-12-20_14-16-46
pmemo,librosa,standard,0.81,49,2019-12-20_14-16-46
pmemo,librosa,standard,0.81,50,2019-12-20_14-16-46
pmemo,librosa,standard,0.81,51,2019-12-20_14-16-46
pmemo,librosa,standard,0.82,52,2019-12-20_14-16-46
pmemo,librosa,standard,0.82,53,2019-12-20_14-16-46
pmemo,librosa,standard,0.82,54,2019-12-20_14-16-46
pmemo,librosa,standard,0.83,55,2019-12-20_14-16-46
pmemo,librosa,standard,0.83,56,2019-12-20_14-16-46
pmemo,librosa,standard,0.83,57,2019-12-20_14-16-46
pmemo,librosa,standard,0.84,58,2019-12-20_14-16-46
pmemo,librosa,standard,0.84,59,2019-12-20_14-16-46
pmemo,librosa,standard,0.84,60,2019-12-20_14-16-46
pmemo,librosa,standard,0.84,61,2019-12-20_14-16-46
pmemo,librosa,standard,0.85,62,2019-12-20_14-16-46
pmemo,librosa,standard,0.85,63,2019-12-20_14-16-46
pmemo,librosa,standard,0.85,64,2019-12-20_14-16-46
pmemo,librosa,standard,0.85,65,2019-12-20_14-16-46
pmemo,librosa,standard,0.86,66,2019-12-20_14-16-46
pmemo,librosa,standard,0.86,67,2019-12-20_14-16-46
pmemo,librosa,standard,0.86,68,2019-12-20_14-16-46
pmemo,librosa,standard,0.86,69,2019-12-20_14-16-46
pmemo,librosa,standard,0.86,70,2019-12-20_14-16-46
pmemo,librosa,standard,0.87,71,2019-12-20_14-16-46
pmemo,librosa,standard,0.87,72,2019-12-20_14-16-46
pmemo,librosa,standard,0.87,73,2019-12-20_14-16-46
pmemo,librosa,standard,0.87,74,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,75,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,76,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,77,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,78,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,79,2019-12-20_14-16-46
pmemo,librosa,standard,0.88,80,2019-12-20_14-16-46
pmemo,librosa,standard,0.89,81,2019-12-20_14-16-46
pmemo,librosa,standard,0.89,82,2019-12-20_14-16-46
pmemo,librosa,standard,0.89,83,2019-12-20_14-16-46
pmemo,librosa,standard,0.89,84,2019-12-20_14-16-46
pmemo,librosa,standard,0.89,85,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,86,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,87,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,88,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,89,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,90,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,91,2019-12-20_14-16-46
pmemo,librosa,standard,0.9,92,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,93,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,94,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,95,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,96,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,97,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,98,2019-12-20_14-16-46
pmemo,librosa,standard,0.91,99,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,100,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,101,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,102,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,103,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,104,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,105,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,106,2019-12-20_14-16-46
pmemo,librosa,standard,0.92,107,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,108,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,109,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,110,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,111,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,112,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,113,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,114,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,115,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,116,2019-12-20_14-16-46
pmemo,librosa,standard,0.93,117,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,118,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,119,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,120,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,121,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,122,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,123,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,124,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,125,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,126,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,127,2019-12-20_14-16-46
pmemo,librosa,standard,0.94,128,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,129,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,130,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,131,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,132,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,133,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,134,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,135,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,136,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,137,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,138,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,139,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,140,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,141,2019-12-20_14-16-46
pmemo,librosa,standard,0.95,142,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,143,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,144,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,145,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,146,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,147,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,148,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,149,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,150,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,151,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,152,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,153,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,154,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,155,2019-12-20_14-16-46
pmemo,librosa,standard,0.96,156,2019-12-20_14-16-46
