dimension,train,test,scaling,pca_comp,whiten,model,metric,score,date
valence,pmemo,deam,standard,1,True,Ridge,rmse,0.135,2019-12-21_09-57-02
valence,pmemo,deam,standard,1,True,Ridge,r2,0.15,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,Ridge,rmse,0.166,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,Ridge,r2,-0.06,2019-12-21_09-57-02
valence,pmemo,deam,standard,1,True,SVRrbf,rmse,0.135,2019-12-21_09-57-02
valence,pmemo,deam,standard,1,True,SVRrbf,r2,0.15,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,SVRrbf,rmse,0.169,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,SVRrbf,r2,-0.11,2019-12-21_09-57-02
valence,pmemo,deam,standard,1,True,SVRlin,rmse,0.135,2019-12-21_09-57-02
valence,pmemo,deam,standard,1,True,SVRlin,r2,0.15,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,SVRlin,rmse,0.166,2019-12-21_09-57-02
arousal,pmemo,deam,standard,1,True,SVRlin,r2,-0.07,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,Ridge,rmse,0.146,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,Ridge,r2,0.18,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,Ridge,rmse,0.171,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,Ridge,r2,0.14,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,SVRrbf,rmse,0.155,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,SVRrbf,r2,0.08,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,SVRrbf,rmse,0.198,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,SVRrbf,r2,-0.16,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,SVRlin,rmse,0.147,2019-12-21_09-57-02
valence,deam,pmemo,standard,1,True,SVRlin,r2,0.17,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,SVRlin,rmse,0.153,2019-12-21_09-57-02
arousal,deam,pmemo,standard,1,True,SVRlin,r2,0.31,2019-12-21_09-57-02
valence,pmemo,minideam,standard,1,True,Ridge,rmse,0.134,2019-12-21_09-57-02
valence,pmemo,minideam,standard,1,True,Ridge,r2,0.16,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,1,True,Ridge,rmse,0.169,2019-12-21_09-57-02
